Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,5.911148552717523e-11,0.0,0.0,0.0,0.0,8.761923922486761e-12,0.0,37.755827580694486
t2,5.8119236623496195e-11,0.0,0.0,0.0,0.0,8.776253143929544e-12,0.0,37.70001150860932
t3,5.778296444552846e-11,0.0,0.0,0.0,0.0,8.744023004748643e-12,0.0,37.74994295218324
t4,5.790792412717058e-11,0.0,0.0,0.0,0.0,8.64935645202061e-12,0.0,37.7717639551084
t5,5.792483060734365e-11,0.0,0.0,0.0,0.0,8.593258221431545e-12,0.0,37.776347552628884
t6,5.766376210832069e-11,0.0,0.0,0.0,0.0,8.588655351891208e-12,0.0,37.75573733630327
t7,5.742512959059179e-11,0.0,0.0,0.0,0.0,8.528418267941614e-12,0.0,37.718023020974556
t8,5.7228053497424706e-11,0.0,0.0,0.0,0.0,8.46435316202059e-12,0.0,37.75751401016748
t9,5.7262261186783216e-11,0.0,0.0,0.0,0.0,8.442579368676843e-12,0.0,37.78835642736861
t10,5.785170509130225e-11,0.0,0.0,0.0,0.0,8.428402981267924e-12,0.0,37.77111133549021
t11,5.812854797043038e-11,0.0,0.0,0.0,0.0,8.431652798858755e-12,0.0,37.77380779257577
t12,5.849174348903961e-11,0.0,0.0,0.0,0.0,8.411729083813167e-12,0.0,37.77018068090257
t13,5.865059218048465e-11,0.0,0.0,0.0,0.0,8.396139168048419e-12,0.0,37.76867343937224
t14,5.867072369143077e-11,0.0,0.0,0.0,0.0,8.398272318511578e-12,0.0,37.75869797445073
t15,5.830318119256218e-11,0.0,0.0,0.0,0.0,8.410699195269578e-12,0.0,37.747268458523536
t16,5.772879227783705e-11,0.0,0.0,0.0,0.0,8.473142169415812e-12,0.0,37.76180194866639
t17,5.759161293377322e-11,0.0,0.0,0.0,0.0,8.492737013442707e-12,0.0,37.77190989280277
t18,5.820556222583275e-11,0.0,0.0,0.0,0.0,8.510925234341226e-12,0.0,37.77927034896951
t19,5.917425668970247e-11,0.0,0.0,0.0,0.0,8.520381200235485e-12,0.0,37.791476281988466
t20,6.039674681577317e-11,0.0,0.0,0.0,0.0,8.52650184373943e-12,0.0,37.95764861410806
t21,6.164931951675078e-11,0.0,0.0,0.0,0.0,8.52598868100322e-12,0.0,37.957648614134655
t22,6.199940184769007e-11,0.0,0.0,0.0,0.0,8.492911374268293e-12,0.0,37.95764861416738
t23,6.205809758233574e-11,0.0,0.0,0.0,0.0,8.549805097292041e-12,0.0,37.95764861423173
t24,6.164847083348329e-11,0.0,0.0,0.0,0.0,8.547959891687916e-12,0.0,37.95764861400901
t25,6.101060000353523e-11,0.0,0.0,0.0,0.0,8.55709439955867e-12,0.0,37.95764861408944
t26,6.01030143976341e-11,0.0,0.0,0.0,0.0,8.635245026289025e-12,0.0,37.95764861413363
t27,5.952669196936219e-11,0.0,0.0,0.0,0.0,8.641989717413477e-12,0.0,37.936568965640156
t28,5.925014837271238e-11,0.0,0.0,0.0,0.0,8.621600386345905e-12,0.0,37.80753060406522
t29,5.912329237501634e-11,0.0,0.0,0.0,0.0,8.57649753462144e-12,0.0,37.806162112159384
t30,5.90155299880238e-11,0.0,0.0,0.0,0.0,8.527650773570183e-12,0.0,37.8133313971734
t31,5.881978210134431e-11,0.0,0.0,0.0,0.0,8.532117343940145e-12,0.0,37.81938734434355
t32,5.874854545913783e-11,0.0,0.0,0.0,0.0,8.485951256331879e-12,0.0,37.821201839761756
t33,5.869027763893738e-11,0.0,0.0,0.0,0.0,8.457149662272769e-12,0.0,37.82173020375982
t34,5.8673607295063e-11,0.0,0.0,0.0,0.0,8.454039422248744e-12,0.0,37.8195136286163
t35,5.875539758434185e-11,0.0,0.0,0.0,0.0,8.447435530871009e-12,0.0,37.807013197028496
t36,5.892247895654998e-11,0.0,0.0,0.0,0.0,8.472295588594979e-12,0.0,37.82225285638576
t37,5.911194424563971e-11,0.0,0.0,0.0,0.0,8.420794449450081e-12,0.0,37.836168133914306
t38,5.914616266568614e-11,0.0,0.0,0.0,0.0,8.507988659135475e-12,0.0,37.83546892535353
t39,5.896495242266192e-11,0.0,0.0,0.0,0.0,8.594295770810941e-12,0.0,37.82879244939697
t40,5.892095013858254e-11,0.0,0.0,0.0,0.0,8.652658880234794e-12,0.0,37.80321752722297
t41,5.877601924889404e-11,0.0,0.0,0.0,0.0,8.774131005054853e-12,0.0,37.81968191107525
t42,5.877474390158186e-11,0.0,0.0,0.0,0.0,8.794797044357308e-12,0.0,37.81970070300617
t43,5.88198036758836e-11,0.0,0.0,0.0,0.0,8.78437263033391e-12,0.0,37.808037739224545
t44,5.88710814508462e-11,0.0,0.0,0.0,0.0,8.754085089961693e-12,0.0,37.81854389678842
t45,5.896667680961945e-11,0.0,0.0,0.0,0.0,8.69916900530777e-12,0.0,37.83503238445448
t46,5.895272068734879e-11,0.0,0.0,0.0,0.0,8.52479020097649e-12,0.0,37.83341613900583
t47,5.866115527323305e-11,0.0,0.0,0.0,0.0,8.683814061197425e-12,0.0,37.83289271346252
t48,5.843213856820997e-11,0.0,0.0,0.0,0.0,8.718575768639121e-12,0.0,37.80114238179304
t49,5.843821248668626e-11,0.0,0.0,0.0,0.0,8.706138849110909e-12,0.0,37.815016120847815
t50,5.861656924299155e-11,0.0,0.0,0.0,0.0,8.68383758770669e-12,0.0,37.81952594905018
t51,5.901455760562704e-11,0.0,0.0,0.0,0.0,8.701891009357473e-12,0.0,37.82041230088122
t52,6.004802640986147e-11,0.0,0.0,0.0,0.0,8.616643520052179e-12,0.0,37.82116519592174
t53,6.151343700439969e-11,0.0,0.0,0.0,0.0,8.547108293350077e-12,0.0,37.8196158986407
t54,6.359799692204304e-11,0.0,0.0,0.0,0.0,8.509126729641276e-12,0.0,37.80769747465939
t55,6.680070923470564e-11,0.0,0.0,0.0,0.0,8.510263087656972e-12,0.0,37.829612142601434
t56,7.158140219250665e-11,0.0,0.0,0.0,0.0,8.60113726301552e-12,0.0,37.84911010107525
t57,7.987202031840689e-11,0.0,0.0,0.0,0.0,8.744997959191673e-12,0.0,37.87565592775052
t58,9.700060055698267e-11,0.0,0.0,0.0,0.0,9.017304741445109e-12,0.0,37.893730597643874
t59,0.02828582916751605,0.0,0.0,0.0,0.0,9.527435719523362e-12,0.0,37.957648614886466
t60,1.43384192020177,0.0,0.0,0.0,0.0,9.753888049990423e-12,0.0,37.95764861481152
t61,1.9997109912959987,0.0,0.0,0.0,0.0,9.958570890116545e-12,0.0,37.957648614807425
t62,2.126513715397083,0.0,0.0,0.0,0.0,1.0089878624279713e-11,0.0,37.95764861481026
t63,2.1265137154898257,0.0,0.0,0.0,0.0,1.0172476132291167e-11,0.0,37.95764861481045
t64,2.1265137155293856,0.0,0.0,0.0,0.0,1.0226906755235405e-11,0.0,37.95764861481041
t65,2.126513715551199,0.0,0.0,0.0,0.0,1.0260275014906253e-11,0.0,37.95764861480959
t66,2.1265137155636338,0.0,0.0,0.0,0.0,1.0355667353474448e-11,0.0,37.95764861481017
t67,2.1265137155755713,0.0,0.0,0.0,0.0,1.0347825748903322e-11,0.0,37.95764861480989
t68,2.1265137155835028,0.0,0.0,0.0,0.0,1.0348036173908191e-11,0.0,37.95764861481093
t69,2.126513715588212,0.0,0.0,0.0,0.0,1.0250823537435329e-11,0.0,37.95764861481159
t70,2.1265137155876834,0.0,0.0,0.0,0.0,1.0156137478349922e-11,0.0,37.95764861480956
t71,2.1265137155822726,0.0,0.0,0.0,0.0,1.027108338687061e-11,0.0,37.957648614810644
t72,2.1265137155709204,0.0,0.0,0.0,0.0,1.033953524829939e-11,0.0,37.957648614811035
t73,2.126513715551805,0.0,0.0,0.0,0.0,1.0336604642970259e-11,0.0,37.95764861481085
t74,2.1265137155166576,0.0,0.0,0.0,0.0,1.0249119458651302e-11,0.0,37.95764861481038
t75,2.126513715441622,0.0,0.0,0.0,0.0,1.0163444425610667e-11,0.0,37.95764861481195
t76,2.1265137151230364,0.0,0.0,0.0,0.0,1.0109114202753076e-11,0.0,37.95764861480995
t77,2.126513714794167,0.0,0.0,0.0,0.0,9.971887012878106e-12,0.0,37.957648614810125
t78,2.126513714737217,0.0,0.0,0.0,0.0,9.898279973455094e-12,0.0,37.9576486148079
t79,2.12651371471279,0.0,0.0,0.0,0.0,9.862144941656471e-12,0.0,37.957648614809635
t80,2.126513714700502,0.0,0.0,0.0,0.0,9.843408159047352e-12,0.0,37.9576486148107
t81,2.12651371469665,0.0,0.0,0.0,0.0,9.868742294226504e-12,0.0,37.957648614811944
t82,2.1265137146993522,0.0,0.0,0.0,0.0,9.87401424969158e-12,0.0,37.957648614807624
t83,2.126513714707071,0.0,0.0,0.0,0.0,9.937813099498646e-12,0.0,37.95764861480251
t84,2.126513714709909,0.0,0.0,0.0,0.0,9.98902132693141e-12,0.0,37.95764861480926
t85,2.1265137147079702,0.0,0.0,0.0,0.0,1.0031882485381999e-11,0.0,37.9576486148109
t86,2.1265137147010784,0.0,0.0,0.0,0.0,1.0108036737107793e-11,0.0,37.95764861480861
t87,2.126513714688179,0.0,0.0,0.0,0.0,1.0126578143703897e-11,0.0,37.957648614809045
t88,2.1265137146668356,0.0,0.0,0.0,0.0,1.0202460692088206e-11,0.0,37.95764861480896
t89,2.1265137146320714,0.0,0.0,0.0,0.0,1.0187392586010745e-11,0.0,37.95764861481036
t90,2.1265137145991737,0.0,0.0,0.0,0.0,1.0146368482082695e-11,0.0,37.95764861481025
t91,2.126513714583131,0.0,0.0,0.0,0.0,1.016534258206954e-11,0.0,37.9576486148114
t92,2.1265137145759585,0.0,0.0,0.0,0.0,1.018187954972286e-11,0.0,37.95764861481154
t93,2.126513714575161,0.0,0.0,0.0,0.0,1.021583260805471e-11,0.0,37.95764861480983
t94,2.126513714571856,0.0,0.0,0.0,0.0,1.0124875469436288e-11,0.0,37.95764861480996
t95,2.126513714562535,0.0,0.0,0.0,0.0,1.0224748420687508e-11,0.0,37.957648614809415
t96,2.1265137145454682,0.0,0.0,0.0,0.0,1.0278004283581126e-11,0.0,37.95764861480992
t97,2.1265137145153084,0.0,0.0,0.0,0.0,1.0179056669619582e-11,0.0,37.95764861480989
t98,2.1265137144586865,0.0,0.0,0.0,0.0,1.0014527523189132e-11,0.0,37.957648614810566
t99,2.126513714272797,0.0,0.0,0.0,0.0,9.745896529454645e-12,0.0,37.957648614814794
t100,9.452641119048616e-11,0.0,0.0,0.0,0.0,9.238011453123702e-12,0.0,37.94310080007055
t101,8.09537915354564e-11,0.0,0.0,0.0,0.0,9.009672010226403e-12,0.0,37.90368885405507
t102,7.440239050021914e-11,0.0,0.0,0.0,0.0,8.841653717962835e-12,0.0,37.899054237467574
t103,7.075095834310904e-11,0.0,0.0,0.0,0.0,8.720372459840874e-12,0.0,37.898284788870384
t104,6.866053134450753e-11,0.0,0.0,0.0,0.0,8.67023682452492e-12,0.0,37.89731706977669
t105,6.751873868938033e-11,0.0,0.0,0.0,0.0,8.643191115128309e-12,0.0,37.89680753654548
t106,6.69733852482578e-11,0.0,0.0,0.0,0.0,8.674911250260558e-12,0.0,37.89594861618036
t107,6.698475893782791e-11,0.0,0.0,0.0,0.0,8.673003233673774e-12,0.0,37.893598143868346
t108,6.751852713887953e-11,0.0,0.0,0.0,0.0,8.640667345638782e-12,0.0,37.95764861447264
t109,6.787140081616906e-11,0.0,0.0,0.0,0.0,8.615395972994658e-12,0.0,37.95764861448558
