Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,173351.6538898379,200530.77042749728,0.0,8.747105276966383e-5,0.0,0.0,0.0,373882.4244048062
t1,0.0,0.0,5.736910679843277e-8,0.0,1.2195354535886407e-8,0.0,0.0,0.0,6.956446133431917e-8
t2,0.0,0.0,5.6676071835681796e-8,0.0,1.059455944900358e-8,0.0,0.0,0.0,6.727063128468537e-8
t3,0.0,0.0,5.171023076400161e-8,0.0,9.713626335418132e-9,0.0,0.0,0.0,6.142385709941974e-8
t4,0.0,0.0,4.825778887607157e-8,0.0,7.758903841124458e-9,0.0,0.0,0.0,5.601669271719603e-8
t5,0.0,0.0,4.898356564808637e-8,0.0,6.207818682441379e-9,0.0,0.0,0.0,5.519138433052775e-8
t6,0.0,0.0,5.1473762141540647e-8,0.0,4.786856329915692e-9,0.0,0.0,0.0,5.6260618471456335e-8
t7,0.0,0.0,5.195943231228739e-8,0.0,3.6735400936539846e-9,0.0,0.0,0.0,5.563297240594138e-8
t8,0.0,0.0,5.185120244277641e-8,0.0,2.5184720895220843e-9,0.0,0.0,0.0,5.43696745322985e-8
t9,0.0,0.0,5.2982613851781934e-8,0.0,1.9736733068663e-9,0.0,0.0,0.0,5.4956287158648233e-8
t10,0.0,0.0,5.2585164667107165e-8,0.0,1.4828437204860696e-9,0.0,0.0,0.0,5.406800838759323e-8
t11,0.0,0.0,5.254059942672029e-8,0.0,1.0496702077967398e-9,0.0,0.0,0.0,5.359026963451703e-8
t12,0.0,0.0,5.2451468945946544e-8,0.0,9.115951095728358e-10,0.0,0.0,0.0,5.3363064055519383e-8
t13,0.0,5.5413124755432364e-8,5.1443294069031253e-8,0.0,7.236119752503704e-10,0.0,0.0,0.0,1.0758003079971399e-7
t14,0.0,3.848276719509158e-8,5.045535544923041e-8,0.0,5.951170624502906e-10,0.0,0.0,0.0,8.953323970677229e-8
t15,0.0,5.107949618832208e-8,5.086053533887025e-8,0.0,8.216579178902784e-10,0.0,0.0,0.0,1.0276168944508261e-7
t16,0.0,5.356469046091661e-8,5.079778020444792e-8,0.0,1.367122246370693e-9,0.0,0.0,0.0,1.0572959291173522e-7
t17,0.0,5.331366992322728e-8,5.017818693886511e-8,0.0,1.8265894341132252e-9,0.0,0.0,0.0,1.0531844629620562e-7
t18,0.0,5.191486707190052e-8,4.931143848807551e-8,0.0,2.1361243898390362e-9,0.0,0.0,0.0,1.0336242994981507e-7
t19,0.0,4.6406967157963663e-8,4.8981974032358266e-8,0.0,2.605191657291729e-9,0.0,0.0,0.0,9.799413284761365e-8
t20,0.0,3.631782874435885e-8,4.057551450387109e-8,0.0,2.944303845918058e-9,0.0,0.0,0.0,7.9837647094148e-8
t21,0.0,3.7822360354766715e-8,3.833474693237804e-8,0.0,4.000788612416746e-9,0.0,0.0,0.0,8.01578958995615e-8
t22,0.0,5.530718638624421e-8,3.816830940195359e-8,0.0,3.35879396734724e-9,0.0,0.0,0.0,9.683428975554505e-8
t23,0.0,0.0,3.7712652556365356e-8,0.0,5.061462470891302e-9,0.0,0.0,0.0,4.2774115027256657e-8
t24,0.0,0.0,3.898071554431226e-8,0.0,6.890650207923048e-9,0.0,0.0,0.0,4.587136575223531e-8
t25,0.0,0.0,3.7716745282523334e-8,0.0,1.0833984503885689e-8,0.0,0.0,0.0,4.8550729786409025e-8
t26,0.0,0.0,3.8307007343973964e-8,0.0,1.2076935345166077e-8,0.0,0.0,0.0,5.038394268914004e-8
t27,0.0,0.0,4.490038918447681e-8,0.0,1.3538382415663973e-8,0.0,0.0,0.0,5.843877160014078e-8
t28,0.0,0.0,4.4908574636792764e-8,0.0,1.3543685242329566e-8,0.0,0.0,0.0,5.8452259879122327e-8
t29,0.0,0.0,4.1763996705412865e-8,0.0,1.3819609738665218e-8,0.0,0.0,0.0,5.558360644407808e-8
t30,0.0,0.0,3.8679900171700865e-8,0.0,1.3945257934512422e-8,0.0,0.0,0.0,5.2625158106213287e-8
t31,0.0,0.0,3.638706402853131e-8,0.0,1.4457922596262488e-8,0.0,0.0,0.0,5.08449866247938e-8
t32,0.0,0.0,3.475543053355068e-8,0.0,1.5089096452184378e-8,0.0,0.0,0.0,4.984452698573506e-8
t33,0.0,0.0,3.399691195227206e-8,0.0,1.5097119147982398e-8,0.0,0.0,0.0,4.909403110025446e-8
t34,0.0,0.0,3.38577592629008e-8,0.0,1.4684603087337903e-8,0.0,0.0,0.0,4.85423623502387e-8
t35,0.0,0.0,3.418335836613551e-8,0.0,1.4432344910660537e-8,0.0,0.0,0.0,4.8615703276796045e-8
t36,0.0,0.0,3.4600361686898395e-8,0.0,1.4377922879965128e-8,0.0,0.0,0.0,4.897828456686353e-8
t37,0.0,6.691900011901453e-8,3.4684035199461505e-8,0.0,1.3919586189957768e-8,0.0,0.0,0.0,1.155226215084338e-7
