Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,1.5836316965198463e6,1.9807595110300727e7,4.3263000647984415e7,2.652186341826115e6,0.00010468469826925365,117594.33483016552,0.0,5.7985148646111794e7,1.2540915677767774e8
t1,1.645882300502422e-8,0.0,9085.357327752003,1.3207299556179016e-7,1.6077021794416927e-8,1.4600384923598583e-9,0.0,8152.090472828397,17237.447800746468
t2,1.621161490640857e-8,0.0,9190.740622841104,1.695085458405652e-7,1.426377640676089e-8,1.4620624702911044e-9,0.0,7342.232689932357,16532.973312974907
t3,1.6135627983772517e-8,0.0,9558.264864466892,1.6981499936763687e-7,1.3079425776489493e-8,1.4567785686329505e-9,0.0,6600.6720015264555,16158.936866193835
t4,1.622419559013253e-8,0.0,8626.93999412654,1.7041341078054564e-7,1.1306334529037025e-8,1.4378810049221075e-9,0.0,6396.577761337523,15023.517755663444
t5,1.62296826529614e-8,0.0,8720.467668516776,1.7267465161814144e-7,8.965694537731357e-9,1.4279663205635279e-9,0.0,5981.544226051086,14702.01189476716
t6,1.6152751535425096e-8,0.0,7516.463522129224,1.6330257005544635e-7,6.757189993456465e-9,1.4303967343157024e-9,0.0,6000.5883255937815,13517.051847910649
t7,1.6074480853324473e-8,0.0,7384.734403268229,1.6761091121212857e-7,4.6156939803292685e-9,1.418951001814053e-9,0.0,5766.551857519722,13151.286260977671
t8,1.5995420790369262e-8,0.0,7599.452867010968,1.7511422398735828e-7,3.5087845507131974e-9,1.4068920468226005e-9,0.0,5473.803195333795,13073.256062540788
t9,1.5981068041254774e-8,0.0,6554.840954445993,1.8023129114691198e-7,2.4519347156840815e-9,1.4040326942522555e-9,0.0,5959.130594664126,12513.971549310187
t10,1.624817422466256e-8,0.0,5105.820646980781,1.7792362807163072e-7,1.61742348684552e-9,1.4010215645143522e-9,0.0,7122.80113105624,12228.62177823421
t11,1.629527410279119e-8,0.0,3460.5239524130557,1.7672466540833462e-7,1.1373762964688982e-9,1.4032159058284616e-9,0.0,8739.340440064334,12199.864392672951
t12,1.642064846556104e-8,0.0,2915.165400330634,1.8186089896363968e-7,9.616781274855267e-10,1.3990906662708813e-9,0.0,9613.726946407476,12528.892346938752
t13,1.650306897424994e-8,114.23365542184123,2689.90860708017,1.7585884237964355e-7,7.469075158404439e-10,1.3920907830358238e-9,0.0,10084.451423511713,12888.593686208225
t14,1.6521351346109834e-8,1757.684908568625,1533.3269434858805,1.7272226769582856e-7,6.084609923597073e-10,1.3915656301363458e-9,0.0,10183.441977970942,13474.453830216691
t15,1.6420982975316993e-8,3951.3803741402694,1290.945364782137,1.7272505239530933e-7,8.549216292769558e-10,1.393025188645602e-9,0.0,9080.719629886966,14323.045369000767
t16,1.61204152116013e-8,6440.027423708776,1022.2179623067594,1.90686320266273e-7,1.46620352468008e-9,1.4103809171114735e-9,0.0,7753.057407098277,15215.302793323495
t17,1.6040741705796852e-8,6289.02198467445,1080.1787746060036,1.876279942153008e-7,2.1260170960799195e-9,1.412885664086729e-9,0.0,7987.633182946382,15356.833942434043
