BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.2275697043585166e8,2.652186341826115e6,-3.1334904794586655e6,0.0,0.0,0.0,1.7014704255059562e-8,0.0,0.0,-1.2227566629749997e8
t1,17237.447800614395,1.3207299556179016e-7,-2169.4428006474727,0.0,0.0,0.0,1.902133543216064e-12,0.0,0.0,-15068.005000000001
t2,16532.9733128054,1.695085458405652e-7,-2134.7293128756814,0.0,0.0,0.0,1.904926348942059e-12,0.0,0.0,-14398.244
t3,16158.936866024018,1.6981499936763687e-7,-2386.144866093695,0.0,0.0,0.0,1.9101429249549783e-12,0.0,0.0,-13772.792
t4,15023.51775549303,1.7041341078054564e-7,-1917.0647555641176,0.0,0.0,0.0,1.9274740393207235e-12,0.0,0.0,-13106.453
t5,14702.011894594485,1.7267465161814144e-7,-2184.8448946678195,0.0,0.0,0.0,1.931640761608267e-12,0.0,0.0,-12517.167
t6,13517.051847747345,1.6330257005544635e-7,-1575.590847813145,0.0,0.0,0.0,1.9183031120044814e-12,0.0,0.0,-11941.461
t7,13151.286260810059,1.6761091121212857e-7,-1645.3692608800131,0.0,0.0,0.0,1.9179718341958307e-12,0.0,0.0,-11505.917
t8,13073.256062365674,1.7511422398735828e-7,-1829.755062442565,0.0,0.0,0.0,1.9221891049888864e-12,0.0,0.0,-11243.501
t9,12513.971549129956,1.8023129114691198e-7,-1347.8805492154556,0.0,0.0,0.0,1.912884586058637e-12,0.0,0.0,-11166.091
t10,12228.621778056287,1.7792362807163072e-7,-947.5887781430948,0.0,0.0,0.0,1.9309350337434003e-12,0.0,0.0,-11281.033
t11,12199.864392496225,1.7672466540833462e-7,-555.7323925803817,0.0,0.0,0.0,1.914916585119894e-12,0.0,0.0,-11644.132
t12,12528.892346756891,1.8186089896363968e-7,-367.42034684514334,0.0,0.0,0.0,1.914839342582038e-12,0.0,0.0,-12161.472
t13,12888.593686032365,1.7585884237964355e-7,-303.55068611079116,0.0,0.0,0.0,2.0721181571814116e-12,0.0,0.0,-12585.043
t14,13474.453830043969,1.7272226769582856e-7,-276.4288301197477,0.0,0.0,0.0,2.04328740808344e-12,0.0,0.0,-13198.025
t15,14323.045368828041,1.7272505239530933e-7,-571.6123689081393,0.0,0.0,0.0,2.0181938941216714e-12,0.0,0.0,-13751.433
t16,15215.30279313281,1.90686320266273e-7,-810.044793234128,0.0,0.0,0.0,1.894858863588566e-12,0.0,0.0,-14405.258
t17,15356.833942246416,1.876279942153008e-7,-774.6399423436467,0.0,0.0,0.0,1.9014740078350227e-12,0.0,0.0,-14582.194000000001
t18,14921.565707079977,1.7912002856943995e-7,-527.3087071665844,0.0,0.0,0.0,1.918218207463053e-12,0.0,0.0,-14394.256999999998
t19,14438.781069245651,1.7093967756247388e-7,-290.693069319362,0.0,0.0,0.0,1.9192089726046215e-12,0.0,0.0,-14148.088
t20,13553.21277452939,397.27522575544816,-2.1362372902691064e-7,0.0,0.0,0.0,1.948706231726177e-12,0.0,0.0,-13950.488
t21,12905.491437402381,1269.9505628105396,-1.6717751119653382e-7,0.0,0.0,0.0,1.9431864660288392e-12,0.0,0.0,-14175.442
t22,13195.648859299792,1955.6961409381747,-1.8815931717911859e-7,0.0,0.0,0.0,1.936711365025802e-12,0.0,0.0,-15151.344999999998
t23,12572.273016158511,3235.8489840722855,-1.802928378657332e-7,0.0,0.0,0.0,1.945480483776315e-12,0.0,0.0,-15808.122
t24,12851.538748062141,2643.695252175192,-1.8627543996969957e-7,0.0,0.0,0.0,1.9275596171530094e-12,0.0,0.0,-15495.234000000002
t25,12690.829223090632,2272.081777132647,-1.7323060630517308e-7,0.0,0.0,0.0,1.9247014792772876e-12,0.0,0.0,-14962.910999999998
t26,13477.252062599346,901.2179376696248,-2.0527731536680216e-7,0.0,0.0,0.0,1.914340059215586e-12,0.0,0.0,-14378.47
t27,13691.325807245537,2.8501295411647487e-7,-7.922807422672521,0.0,0.0,0.0,1.9162387054901904e-12,0.0,0.0,-13683.403
t28,13139.20456259919,1.9776549902391037e-7,-281.84256269766735,0.0,0.0,0.0,1.919910970927534e-12,0.0,0.0,-12857.362
t29,12642.409985026181,1.985463301876314e-7,-587.333985129763,0.0,0.0,0.0,1.9217387622956665e-12,0.0,0.0,-12055.076
t30,12157.852892729954,1.877704300373588e-7,-738.2188928226886,0.0,0.0,0.0,1.9277439227671114e-12,0.0,0.0,-11419.634
t31,11668.14427568152,1.6931711690394316e-7,-697.4402757553713,0.0,0.0,0.0,1.9144115084887094e-12,0.0,0.0,-10970.704
t32,11551.136966725606,1.6978399408328161e-7,-821.5379668007399,0.0,0.0,0.0,1.9183591832266697e-12,0.0,0.0,-10729.599
t33,11487.765433391074,1.672827095220914e-7,-870.7894334639931,0.0,0.0,0.0,1.919246588401793e-12,0.0,0.0,-10616.976
t34,11415.224457636032,1.691067469978654e-7,-753.1324577106167,0.0,0.0,0.0,1.916879720840011e-12,0.0,0.0,-10662.092
t35,11535.345473588353,1.7106180300639385e-7,-601.724473664498,0.0,0.0,0.0,1.9191352483175626e-12,0.0,0.0,-10933.621
t36,11921.716732502246,1.6723490482440994e-7,-491.97173257418837,0.0,0.0,0.0,1.9076930088972755e-12,0.0,0.0,-11429.745
t37,12496.61510749911,1.7689951446924086e-7,-487.6391075831041,0.0,0.0,0.0,2.191535366015459e-12,0.0,0.0,-12008.976
t38,13258.523031318015,1.7192683730815391e-7,-440.65203139679954,0.0,0.0,0.0,1.9346327769880072e-12,0.0,0.0,-12817.871
t39,14546.50943118588,1.652621414424219e-7,-580.6914312588256,0.0,0.0,0.0,1.918093731002764e-12,0.0,0.0,-13965.818
t40,15257.40620053195,1.7120232643321687e-7,-697.3542006096882,0.0,0.0,0.0,1.92666909280022e-12,0.0,0.0,-14560.052
t41,15858.041164745377,1.6495364207128953e-7,-974.4891648127248,0.0,0.0,0.0,1.9151643949757383e-12,0.0,0.0,-14883.552
t42,16740.54143954346,1.678243308077475e-7,-1779.9624396151712,0.0,0.0,0.0,1.923283824444425e-12,0.0,0.0,-14960.579
t43,16097.962787910936,1.6945997511874457e-7,-1604.634787983854,0.0,0.0,0.0,1.922400041082207e-12,0.0,0.0,-14493.328
t44,15553.555502067937,1.757025155017847e-7,-1440.0595021463894,0.0,0.0,0.0,1.9246361920567223e-12,0.0,0.0,-14113.495999999997
t45,14534.921914143364,1.6681947958917094e-7,-679.037914216693,0.0,0.0,0.0,1.9313056654969364e-12,0.0,0.0,-13855.884
t46,15203.17624946962,1.7073342527388128e-7,-589.2032495479905,0.0,0.0,0.0,2.025991839759678e-12,0.0,0.0,-14613.973
t47,16003.984267443735,1.704022228349437e-7,-514.6712675207824,0.0,0.0,0.0,1.9131928494426324e-12,0.0,0.0,-15489.312999999998
t48,15880.474277670248,1.691432323504863e-7,-572.0902777448662,0.0,0.0,0.0,1.910532980966613e-12,0.0,0.0,-15308.384
t49,15511.357443730143,1.6973457016486107e-7,-659.743443805308,0.0,0.0,0.0,1.916389213604093e-12,0.0,0.0,-14851.613999999998
t50,15010.03409373463,1.6793778652323146e-7,-708.2760938081422,0.0,0.0,0.0,1.922264987402048e-12,0.0,0.0,-14301.758000000002
t51,14514.833216625942,1.5459598409400688e-7,-856.2262166856594,0.0,0.0,0.0,1.9058301674384765e-12,0.0,0.0,-13658.607
t52,13840.093050924293,1.5578868145867694e-7,-967.1600509863302,0.0,0.0,0.0,1.9205180071937325e-12,0.0,0.0,-12872.933
t53,13222.31837796008,1.5380544396893463e-7,-1107.7603780213906,0.0,0.0,0.0,1.925451996444349e-12,0.0,0.0,-12114.558
