Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,72.91562716096597,0.0,0.0,0.0,0.0,21.494562429086947,0.0,208075.82888892936,208170.2390785194
t1,8.20438098244054e-12,0.0,0.0,0.0,0.0,1.3732687561051464e-12,0.0,23.896820890971203,23.89682089098078
t2,6.817023212601037e-12,0.0,0.0,0.0,0.0,1.4192964596592796e-12,0.0,23.738096782871793,23.738096782880028
t3,6.416720071578294e-12,0.0,0.0,0.0,0.0,1.4436683340070411e-12,0.0,23.718197648243738,23.7181976482516
t4,6.094177091142031e-12,0.0,0.0,0.0,0.0,1.4724014783831458e-12,0.0,23.771391677309346,23.771391677316913
t5,6.096949008624855e-12,0.0,0.0,0.0,0.0,1.4498520364702208e-12,0.0,23.777643053892046,23.77764305389959
t6,6.204306171367646e-12,0.0,0.0,0.0,0.0,1.4154532813642356e-12,0.0,23.791704171168284,23.791704171175905
t7,6.2057405624073114e-12,0.0,0.0,0.0,0.0,1.4370827673326518e-12,0.0,23.781493478669823,23.781493478677465
t8,6.192369871478864e-12,0.0,0.0,0.0,0.0,1.4316057973634171e-12,0.0,23.66482706736481,23.664827067372435
t9,6.089842107254854e-12,0.0,0.0,0.0,0.0,1.405821263937727e-12,0.0,23.798893868674167,23.798893868681663
t10,5.811874054490065e-12,0.0,0.0,0.0,0.0,1.3988360512906967e-12,0.0,23.786552157191625,23.786552157198837
t11,5.996783295882936e-12,0.0,0.0,0.0,0.0,1.3842197822270128e-12,0.0,23.77944552146845,23.779445521475832
t12,5.952381779819527e-12,0.0,0.0,0.0,0.0,1.3946189798921935e-12,0.0,23.78260987403384,23.78260987404119
t13,6.1013731909766305e-12,0.0,0.0,0.0,0.0,1.3925709536390209e-12,0.0,23.75784510666198,23.75784510666947
t14,6.137776607503202e-12,0.0,0.0,0.0,0.0,1.3854696394129426e-12,0.0,23.785763357686378,23.785763357693902
t15,6.292739578863296e-12,0.0,0.0,0.0,0.0,1.3791879570747864e-12,0.0,23.785969103085726,23.785969103093397
t16,6.4333652725775674e-12,0.0,0.0,0.0,0.0,1.358055409277102e-12,0.0,23.739067729583816,23.739067729591607
t17,6.175165052336651e-12,0.0,0.0,0.0,0.0,1.3793246301528126e-12,0.0,23.775637510897514,23.775637510905067
t18,5.8512456896405205e-12,0.0,0.0,0.0,0.0,1.387595897764468e-12,0.0,23.776457759665316,23.776457759672557
t19,5.6942288470544585e-12,0.0,0.0,0.0,0.0,1.3909247286840128e-12,0.0,23.773671371842166,23.77367137184925
t20,5.6263462967661536e-12,0.0,0.0,0.0,0.0,1.3941984686593762e-12,0.0,23.696717312296418,23.696717312303438
t21,5.729362646206223e-12,0.0,0.0,0.0,0.0,1.3930658031933352e-12,0.0,23.78064109568101,23.780641095688132
t22,6.057589782916992e-12,0.0,0.0,0.0,0.0,1.4097757277832471e-12,0.0,23.780862706843976,23.780862706851444
t23,6.203051136754705e-12,0.0,0.0,0.0,0.0,1.353166752503662e-12,0.0,23.777004886084654,23.77700488609221
t24,6.4221759099689574e-12,0.0,0.0,0.0,0.0,1.4016518544845775e-12,0.0,23.658540240901036,23.65854024090886
t25,6.580056339639663e-12,0.0,0.0,0.0,0.0,1.3994365878395926e-12,0.0,23.744346332803083,23.744346332811062
t26,6.763977580098829e-12,0.0,0.0,0.0,0.0,1.3718283290117364e-12,0.0,23.78173281330109,23.781732813309226
t27,6.539764312585674e-12,0.0,0.0,0.0,0.0,1.4077306265909208e-12,0.0,23.79153930090377,23.79153930091172
t28,6.336749968634807e-12,0.0,0.0,0.0,0.0,1.4206116691584e-12,0.0,23.845310654405466,23.845310654413225
t29,6.231715018494837e-12,0.0,0.0,0.0,0.0,1.4327280796512568e-12,0.0,23.782030459880986,23.78203045988865
t30,6.215476138192876e-12,0.0,0.0,0.0,0.0,1.4321718714001356e-12,0.0,23.776944859205756,23.776944859213405
t31,6.259565515082492e-12,0.0,0.0,0.0,0.0,1.4014098738447965e-12,0.0,23.777002119975943,23.777002119983603
t32,6.205276783131272e-12,0.0,0.0,0.0,0.0,1.4230890316046068e-12,0.0,23.7792002945472,23.779200294554826
t33,6.2069872536515795e-12,0.0,0.0,0.0,0.0,1.4110402253533305e-12,0.0,23.779714624446807,23.779714624454424
t34,6.192495326090895e-12,0.0,0.0,0.0,0.0,1.3940886937660176e-12,0.0,23.7820297390081,23.782029739015684
t35,6.153836311477554e-12,0.0,0.0,0.0,0.0,1.3942713370714506e-12,0.0,23.77073863882889,23.77073863883644
t36,6.115192493220576e-12,0.0,0.0,0.0,0.0,1.381057737308168e-12,0.0,23.630202003596672,23.63020200360417
t37,6.120255933037224e-12,0.0,0.0,0.0,0.0,1.420619629511369e-12,0.0,23.777613929755354,23.777613929762897
t38,6.183685881271575e-12,0.0,0.0,0.0,0.0,1.3589793181715117e-12,0.0,23.7798674684189,23.779867468426442
t39,6.277180923660107e-12,0.0,0.0,0.0,0.0,1.3632053960601779e-12,0.0,23.785782016086316,23.785782016093957
t40,6.213822726083739e-12,0.0,0.0,0.0,0.0,1.3876209322234775e-12,0.0,23.70660372118119,23.70660372118879
t41,6.245402494836396e-12,0.0,0.0,0.0,0.0,1.3590433110850368e-12,0.0,23.746188065099474,23.746188065107077
t42,6.18470711915699e-12,0.0,0.0,0.0,0.0,1.4203937042620124e-12,0.0,23.78005286939251,23.780052869400116
t43,6.156499380968646e-12,0.0,0.0,0.0,0.0,1.4337979593810095e-12,0.0,23.775331377460073,23.775331377467662
t44,6.144087455203623e-12,0.0,0.0,0.0,0.0,1.445626109322176e-12,0.0,23.681742963229155,23.681742963236744
t45,6.0995801129561455e-12,0.0,0.0,0.0,0.0,1.4634201415849243e-12,0.0,23.784885836718722,23.784885836726286
