Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion,Total
Zone,1,1,1,1,1,1,1,1,0
AnnualSum,72.91562716080735,0.0,0.0,0.0,0.0,21.49456242910804,0.0,208075.82888892942,208170.23907851934
t1,5.4260434560373366e-12,0.0,0.0,0.0,0.0,1.4833840788398284e-12,0.0,23.694999857243715,23.694999857250625
t2,5.824774308922259e-12,0.0,0.0,0.0,0.0,1.4344516486379364e-12,0.0,23.682280710786525,23.682280710793783
t3,6.08045231595142e-12,0.0,0.0,0.0,0.0,1.4108235664601004e-12,0.0,23.7681290918179,23.768129091825394
t4,6.219136772783508e-12,0.0,0.0,0.0,0.0,1.3770134317938114e-12,0.0,23.79321268023441,23.793212680242007
t5,6.113859178478041e-12,0.0,0.0,0.0,0.0,1.3901946996055377e-12,0.0,23.782226651412444,23.782226651419947
t6,5.943237672344752e-12,0.0,0.0,0.0,0.0,1.4109168292130819e-12,0.0,23.771093954842616,23.77109395484997
t7,5.967106707657114e-12,0.0,0.0,0.0,0.0,1.3753754928165085e-12,0.0,23.743779163341163,23.743779163348506
t8,5.995293778312069e-12,0.0,0.0,0.0,0.0,1.3674005891916816e-12,0.0,23.704318056557753,23.704318056565114
t9,6.1240501859936666e-12,0.0,0.0,0.0,0.0,1.3844545350050058e-12,0.0,23.82973628587519,23.829736285882696
t10,6.401317959008888e-12,0.0,0.0,0.0,0.0,1.3847645433893396e-12,0.0,23.76930706531332,23.769307065321108
t11,6.2736274325072456e-12,0.0,0.0,0.0,0.0,1.3906985289592423e-12,0.0,23.782141978553856,23.78214197856152
t12,6.315577298428223e-12,0.0,0.0,0.0,0.0,1.3748339448778345e-12,0.0,23.77898276236063,23.778982762368322
t13,6.260220640315442e-12,0.0,0.0,0.0,0.0,1.3782783893093022e-12,0.0,23.756337865131957,23.756337865139596
t14,6.157908118448892e-12,0.0,0.0,0.0,0.0,1.387674862818504e-12,0.0,23.775787892764797,23.775787892772343
t15,5.9251914435248404e-12,0.0,0.0,0.0,0.0,1.3965960223734823e-12,0.0,23.774539587158316,23.774539587165638
t16,5.8589763578522285e-12,0.0,0.0,0.0,0.0,1.4209273639469192e-12,0.0,23.75360121972682,23.7536012197341
t17,6.0379787886458505e-12,0.0,0.0,0.0,0.0,1.4050931190755669e-12,0.0,23.785745455033876,23.78574545504132
t18,6.465194981700351e-12,0.0,0.0,0.0,0.0,1.4061182397311035e-12,0.0,23.78381821583208,23.783818215839954
t19,6.6629227092284114e-12,0.0,0.0,0.0,0.0,1.4031039117347188e-12,0.0,23.78587730486079,23.785877304868855
t20,6.848836422837206e-12,0.0,0.0,0.0,0.0,1.4004871371276399e-12,0.0,23.862889644416477,23.862889644424726
t21,6.981930726207518e-12,0.0,0.0,0.0,0.0,1.3934499253345718e-12,0.0,23.78064109570737,23.780641095715744
t22,6.407672113856284e-12,0.0,0.0,0.0,0.0,1.3763450839063208e-12,0.0,23.78086270687656,23.780862706884346
t23,6.261745118766054e-12,0.0,0.0,0.0,0.0,1.4148576691334884e-12,0.0,23.77700488614912,23.777004886156796
t24,6.012549161116596e-12,0.0,0.0,0.0,0.0,1.4001480749466088e-12,0.0,23.65854024067841,23.65854024068582
t25,5.942186287547859e-12,0.0,0.0,0.0,0.0,1.4119391825462113e-12,0.0,23.744346332883552,23.744346332890906
t26,5.8563919741978054e-12,0.0,0.0,0.0,0.0,1.4506644088864634e-12,0.0,23.781732813345204,23.781732813352512
t27,5.963445823764173e-12,0.0,0.0,0.0,0.0,1.4177066033334978e-12,0.0,23.77045965241088,23.770459652418264
t28,6.0602063719844275e-12,0.0,0.0,0.0,0.0,1.4002384656303766e-12,0.0,23.716272292829917,23.716272292837377
t29,6.104863991811087e-12,0.0,0.0,0.0,0.0,1.3856379694771495e-12,0.0,23.78066196797521,23.7806619679827
t30,6.107713751200861e-12,0.0,0.0,0.0,0.0,1.3831587279489623e-12,0.0,23.784114144219785,23.784114144227274
t31,6.063819815133214e-12,0.0,0.0,0.0,0.0,1.406636857108096e-12,0.0,23.78305806714608,23.78305806715355
t32,6.1340401409244095e-12,0.0,0.0,0.0,0.0,1.3768905734740122e-12,0.0,23.78101478996549,23.781014789973
t33,6.148721294483773e-12,0.0,0.0,0.0,0.0,1.3826748959665244e-12,0.0,23.78024298844491,23.780242988452443
t34,6.175824982216652e-12,0.0,0.0,0.0,0.0,1.391111298844972e-12,0.0,23.779813163864546,23.779813163872113
t35,6.235627504446957e-12,0.0,0.0,0.0,0.0,1.390632091097741e-12,0.0,23.758238207241135,23.758238207248763
t36,6.282273865428256e-12,0.0,0.0,0.0,0.0,1.4061938938294288e-12,0.0,23.645441662953814,23.645441662961503
