Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,3289.086644947393,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,5253.037612608773,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,7448.29088923039,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,9211.990464164146,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,11222.04776707085,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,12671.591346881441,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,14185.331066708875,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,15868.705723965695,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,17108.755829048012,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,17980.537504746266,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,18491.811305728123,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,18829.838024628,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,19109.104655658775,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,19363.4191791812,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,19889.302558388943,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,20634.543767957075,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,21347.21251470928,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,21832.336525107843,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,22099.774148695855,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,21667.95325133212,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,20287.57220495273,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,18161.815530193035,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,14644.588373758594,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,11771.006578087368,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,9301.352472667777,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,8321.767757998345,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,8329.056740517395,0.0,0.0,0.0,0.0
