Resource,natural_gas_ccs,solar_pv,onshore_wind,battery,offshore_wind,natural_gas,nuclear,fusion
Zone,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,-4.588479221400231,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,-4.588479221389521,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,-4.58847922138367,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,-4.5884792213798455,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,-4.5884792213771375,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,-4.588479221371288,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,-4.588479221370043,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,-4.588479221369112,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,-4.588479221368744,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,-4.588479221368804,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,-4.588479221367013,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,-4.588479221367743,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,-4.588479221369015,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,-4.588479221370704,0.0,0.0,0.0,0.0
t15,0.0,0.0,0.0,-4.588479221372874,0.0,0.0,0.0,0.0
t16,0.0,0.0,0.0,-4.588479221374603,0.0,0.0,0.0,0.0
t17,0.0,0.0,0.0,-4.588479221377524,0.0,0.0,0.0,0.0
t18,0.0,0.0,0.0,-4.588479221380815,0.0,0.0,0.0,0.0
t19,0.0,0.0,0.0,-4.5884792213845325,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,-4.5884792213888455,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,-4.58847922139275,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,-4.588479221395927,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,-4.588479221398027,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,-4.588479221398905,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,-4.588479221398675,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,-4.588479221395616,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,-4.588479221394643,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,-4.588479221392744,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,-4.588479221391263,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,-4.588479221390065,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,-4.588479221387434,0.0,0.0,0.0,0.0
