Time_Index,natural_gas,solar_pv,onshore_wind,battery,offshore_wind,natural_gas_ccs,nuclear,fusion,ROR_NY,Res_QC
1,1,0,0.6897,1,0.6037,1,1,1,0.552743642,6.26E-05
2,1,0,0.6977,1,0.5308,1,1,1,0.552743642,6.26E-05
3,1,0,0.7256,1,0.4867,1,1,1,0.552743642,6.26E-05
4,1,0,0.6549,1,0.4071,1,1,1,0.552743642,6.26E-05
5,1,0,0.662,1,0.324,1,1,1,0.552743642,6.26E-05
6,1,0,0.5706,1,0.2465,1,1,1,0.552743642,6.26E-05
7,1,0,0.5606,1,0.177,1,1,1,0.552743642,6.26E-05
8,1,0,0.5769,1,0.1287,1,1,1,0.552743642,6.26E-05
9,1,0,0.4976,1,0.0945,1,1,1,0.552743642,6.26E-05
10,1,0,0.3876,1,0.0662,1,1,1,0.552743642,6.26E-05
11,1,0,0.2627,1,0.0467,1,1,1,0.552743642,6.26E-05
12,1,0,0.2213,1,0.04,1,1,1,0.552743642,6.26E-05
13,1,0.007201,0.2042,1,0.0314,1,1,1,0.552743642,6.26E-05
14,1,0.1108,0.1164,1,0.0257,1,1,1,0.552743642,6.26E-05
15,1,0.249085,0.098,1,0.0358,1,1,1,0.552743642,6.26E-05
16,1,0.405963,0.0776,1,0.0605,1,1,1,0.552743642,6.26E-05
17,1,0.396444,0.082,1,0.0844,1,1,1,0.552743642,6.26E-05
18,1,0.281572,0.1068,1,0.1031,1,1,1,0.552743642,6.26E-05
19,1,0.166039,0.1347,1,0.1286,1,1,1,0.552743642,6.26E-05
20,1,0.064078,0.128,1,0.1441,1,1,1,0.552743642,6.26E-05
21,1,0.016189,0.1365,1,0.1949,1,1,1,0.552743642,6.26E-05
22,1,0.0006,0.1773,1,0.1874,1,1,1,0.552743642,6.26E-05
23,1,0,0.1307,1,0.2428,1,1,1,0.552743642,6.26E-05
24,1,0,0.1519,1,0.3226,1,1,1,0.552743642,6.26E-05
25,1,0,0.1397,1,0.5111,1,1,1,0.552743642,6.26E-05
26,1,0,0.1994,1,0.6026,1,1,1,0.552743642,6.26E-05
27,1,0,0.2173,1,0.6952,1,1,1,0.552743642,6.26E-05
28,1,0,0.2479,1,0.7386,1,1,1,0.552743642,6.26E-05
29,1,0,0.3289,1,0.7815,1,1,1,0.552743642,6.26E-05
30,1,0,0.3558,1,0.7962,1,1,1,0.552743642,6.26E-05
31,1,0,0.316,1,0.849,1,1,1,0.552743642,6.26E-05
32,1,0,0.3694,1,0.8942,1,1,1,0.552743642,6.26E-05
33,1,0,0.4002,1,0.8954,1,1,1,0.552743642,6.26E-05
34,1,0,0.3638,1,0.8673,1,1,1,0.552743642,6.26E-05
35,1,0,0.3119,1,0.8506,1,1,1,0.552743642,6.26E-05
36,1,0,0.282,1,0.8698,1,1,1,0.552743642,6.26E-05
37,1,0.004401,0.2961,1,0.888,1,1,1,0.552743642,6.26E-05
38,1,0.030643,0.3267,1,0.8921,1,1,1,0.552743642,6.26E-05
39,1,0.165519,0.3389,1,0.8916,1,1,1,0.552743642,6.26E-05
40,1,0.248975,0.3871,1,0.8945,1,1,1,0.552743642,6.26E-05
41,1,0.319226,0.4364,1,0.8931,1,1,1,0.552743642,6.26E-05
42,1,0.410579,0.4479,1,0.8926,1,1,1,0.552743642,6.26E-05
43,1,0.326216,0.4853,1,0.8938,1,1,1,0.552743642,6.26E-05
44,1,0.218065,0.5485,1,0.8864,1,1,1,0.552743642,6.26E-05
45,1,0.073351,0.505,1,0.8813,1,1,1,0.552743642,6.26E-05
46,1,0.0052,0.5444,1,0.8805,1,1,1,0.552743642,6.26E-05
47,1,0,0.5839,1,0.7865,1,1,1,0.552743642,6.26E-05
48,1,0,0.5767,1,0.7228,1,1,1,0.552743642,6.26E-05
49,1,0,0.5706,1,0.6605,1,1,1,0.552743642,6.26E-05
50,1,0,0.5169,1,0.5581,1,1,1,0.552743642,6.26E-05
51,1,0,0.4612,1,0.543,1,1,1,0.552743642,6.26E-05
52,1,0,0.3993,1,0.4774,1,1,1,0.552743642,6.26E-05
53,1,0,0.3397,1,0.4262,1,1,1,0.552743642,6.26E-05
54,1,0,0.227,1,0.3738,1,1,1,0.552743642,6.26E-05
55,1,0,0.1802,1,0.3374,1,1,1,0.552743642,6.26E-05
56,1,0,0.1088,1,0.3348,1,1,1,0.552743642,6.26E-05
57,1,0,0.0651,1,0.269,1,1,1,0.552743642,6.26E-05
58,1,0,0.0461,1,0.2138,1,1,1,0.552743642,6.26E-05
59,1,0,0.0342,1,0.2081,1,1,1,0.552743642,6.26E-05
60,1,0,0.0362,1,0.214,1,1,1,0.552743642,6.26E-05
61,1,0.003798,0.0402,1,0.2253,1,1,1,0.552743642,6.26E-05
62,1,0.021206,0.0423,1,0.2139,1,1,1,0.552743642,6.26E-05
63,1,0.049997,0.0556,1,0.2401,1,1,1,0.552743642,6.26E-05
