Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2
50000,1,1,1,1,168,1,1,15068.005,1
,,,,,,,2,14398.244,1
,,,,,,,3,13772.792,1
,,,,,,,4,13106.453,1
,,,,,,,5,12517.167,1
,,,,,,,6,11941.461,1
,,,,,,,7,11505.917,1
,,,,,,,8,11243.501,1
,,,,,,,9,11166.091,1
,,,,,,,10,11281.033,1
,,,,,,,11,11644.132,1
,,,,,,,12,12161.472,1
,,,,,,,13,12585.043,1
,,,,,,,14,13198.025,1
,,,,,,,15,13751.433,1
,,,,,,,16,14405.258,1
,,,,,,,17,14582.194,1
,,,,,,,18,14394.257,1
,,,,,,,19,14148.088,1
,,,,,,,20,13950.488,1
,,,,,,,21,14175.442,1
,,,,,,,22,15151.345,1
,,,,,,,23,15808.122,1
,,,,,,,24,15495.234,1
,,,,,,,25,14962.911,1
,,,,,,,26,14378.47,1
,,,,,,,27,13683.403,1
,,,,,,,28,12857.362,1
,,,,,,,29,12055.076,1
,,,,,,,30,11419.634,1
,,,,,,,31,10970.704,1
,,,,,,,32,10729.599,1
,,,,,,,33,10616.976,1
,,,,,,,34,10662.092,1
,,,,,,,35,10933.621,1
,,,,,,,36,11429.745,1
,,,,,,,37,12008.976,1
,,,,,,,38,12817.871,1
,,,,,,,39,13965.818,1
,,,,,,,40,14560.052,1
,,,,,,,41,14883.552,1
,,,,,,,42,14960.579,1
,,,,,,,43,14493.328,1
,,,,,,,44,14113.496,1
,,,,,,,45,13855.884,1
,,,,,,,46,14613.973,1
,,,,,,,47,15489.313,1
,,,,,,,48,15308.384,1
,,,,,,,49,14851.614,1
,,,,,,,50,14301.758,1
,,,,,,,51,13658.607,1
,,,,,,,52,12872.933,1
,,,,,,,53,12114.558,1
,,,,,,,54,11511.824,1
,,,,,,,55,11135.779,1
,,,,,,,56,10956.797,1
,,,,,,,57,10921.577,1
,,,,,,,58,11023.112,1
,,,,,,,59,11309.779,1
,,,,,,,60,11796.584,1
,,,,,,,61,12341.7,1
,,,,,,,62,13082.539,1
,,,,,,,63,13869.23,1
,,,,,,,64,14451.009,1
,,,,,,,65,14928.875,1
,,,,,,,66,15292.656,1
,,,,,,,67,15199.817,1
,,,,,,,68,15152.892,1
,,,,,,,69,15256.721,1
,,,,,,,70,15999.963,1
,,,,,,,71,16547.71,1
,,,,,,,72,16199.159,1
,,,,,,,73,15575.948,1
,,,,,,,74,14875.446,1
,,,,,,,75,13983.026,1
,,,,,,,76,12971.582,1
,,,,,,,77,12094.796,1
,,,,,,,78,11492.402,1
,,,,,,,79,11151.613,1
,,,,,,,80,11031.352,1
,,,,,,,81,11066.316,1
,,,,,,,82,11415.934,1
,,,,,,,83,12242.601,1
,,,,,,,84,13545.593,1
,,,,,,,85,14712.295,1
,,,,,,,86,15421.783,1
,,,,,,,87,16025.298,1
,,,,,,,88,16255.767,1
,,,,,,,89,16324.95,1
,,,,,,,90,16111.795,1
,,,,,,,91,15872.199,1
,,,,,,,92,15620.176,1
,,,,,,,93,15225.606,1
,,,,,,,94,15883.575,1
,,,,,,,95,16859.757,1
,,,,,,,96,16624.64,1
,,,,,,,97,16058.747,1
,,,,,,,98,15311.954,1
,,,,,,,99,14388.576,1
,,,,,,,100,13343.296,1
,,,,,,,101,12400.386,1
,,,,,,,102,11755.318,1
,,,,,,,103,11406.685,1
,,,,,,,104,11252.602,1
,,,,,,,105,11275.53,1
,,,,,,,106,11579.773,1
,,,,,,,107,12387.442,1
,,,,,,,108,13665.792,1
,,,,,,,109,14779.339,1
,,,,,,,110,15519.562,1
,,,,,,,111,15867.798,1
,,,,,,,112,16113.934,1
,,,,,,,113,16631.803,1
,,,,,,,114,16307.728,1
,,,,,,,115,16022.443,1
,,,,,,,116,15589.563,1
,,,,,,,117,15646.505,1
,,,,,,,118,16347.328,1
,,,,,,,119,17052.85,1
,,,,,,,120,16758.311,1
,,,,,,,121,16159.709,1
,,,,,,,122,15368.535,1
,,,,,,,123,14408.482,1
,,,,,,,124,13318.881,1
,,,,,,,125,12370.023,1
,,,,,,,126,11725.361,1
,,,,,,,127,11361.362,1
,,,,,,,128,11215.09,1
,,,,,,,129,11222.056,1
,,,,,,,130,11536.007,1
,,,,,,,131,12346.333,1
,,,,,,,132,13631.963,1
,,,,,,,133,14752.911,1
,,,,,,,134,15522.184,1
,,,,,,,135,15714.819,1
,,,,,,,136,15976.955,1
,,,,,,,137,16518.978,1
,,,,,,,138,15958.129,1
,,,,,,,139,15672.544,1
,,,,,,,140,15504.668,1
,,,,,,,141,15363.685,1
,,,,,,,142,16022.426,1
,,,,,,,143,16981.637,1
,,,,,,,144,16737.009,1
,,,,,,,145,16199.162,1
,,,,,,,146,15476.55,1
,,,,,,,147,14592.842,1
,,,,,,,148,13519.145,1
,,,,,,,149,12586.113,1
,,,,,,,150,11960.28,1
,,,,,,,151,11580.005,1
,,,,,,,152,11424.1,1
,,,,,,,153,11450.761,1
,,,,,,,154,11777.684,1
,,,,,,,155,12609.515,1
,,,,,,,156,13931.767,1
,,,,,,,157,15002.444,1
,,,,,,,158,15694.357,1
,,,,,,,159,16328.862,1
,,,,,,,160,16218.319,1
,,,,,,,161,16327.548,1
,,,,,,,162,16167.401,1
,,,,,,,163,15655.468,1
,,,,,,,164,15429.819,1
,,,,,,,165,15175.285,1
,,,,,,,166,15799.113,1
