Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Demand_MW_z1
2000,1,1,0,2000,1,8760,8760,1,9234
,,,,,,,,2,8732
,,,,,,,,3,8359
,,,,,,,,4,8171
,,,,,,,,5,8142
,,,,,,,,6,8286
,,,,,,,,7,8594
,,,,,,,,8,8873
,,,,,,,,9,9346
,,,,,,,,10,9809
,,,,,,,,11,10089
,,,,,,,,12,10192
,,,,,,,,13,10242
,,,,,,,,14,10150
,,,,,,,,15,10049
,,,,,,,,16,10108
,,,,,,,,17,11093
,,,,,,,,18,12027
,,,,,,,,19,11956
,,,,,,,,20,11591
,,,,,,,,21,11162
,,,,,,,,22,10565
,,,,,,,,23,9825
,,,,,,,,24,8995
,,,,,,,,25,8293
,,,,,,,,26,7868
,,,,,,,,27,7664
,,,,,,,,28,7617
,,,,,,,,29,7785
,,,,,,,,30,8210
,,,,,,,,31,8848
,,,,,,,,32,9372
,,,,,,,,33,10013
,,,,,,,,34,10671
,,,,,,,,35,11153
,,,,,,,,36,11350
,,,,,,,,37,11332
,,,,,,,,38,11258
,,,,,,,,39,11223
,,,,,,,,40,11393
,,,,,,,,41,12463
,,,,,,,,42,13544
,,,,,,,,43,13425
,,,,,,,,44,13101
,,,,,,,,45,12571
,,,,,,,,46,11738
,,,,,,,,47,10704
,,,,,,,,48,9767
,,,,,,,,49,9147
,,,,,,,,50,8836
,,,,,,,,51,8687
,,,,,,,,52,8705
,,,,,,,,53,9017
,,,,,,,,54,9945
,,,,,,,,55,11583
,,,,,,,,56,12502
,,,,,,,,57,12657
,,,,,,,,58,12744
,,,,,,,,59,12859
,,,,,,,,60,12879
,,,,,,,,61,12827
,,,,,,,,62,12808
,,,,,,,,63,12760
,,,,,,,,64,12938
,,,,,,,,65,13947
,,,,,,,,66,15050
,,,,,,,,67,15080
,,,,,,,,68,14826
,,,,,,,,69,14344
,,,,,,,,70,13498
,,,,,,,,71,12368
,,,,,,,,72,11378
,,,,,,,,73,10764
,,,,,,,,74,10440
,,,,,,,,75,10276
,,,,,,,,76,10295
,,,,,,,,77,10574
,,,,,,,,78,11447
,,,,,,,,79,13037
,,,,,,,,80,13902
,,,,,,,,81,13919
,,,,,,,,82,13882
,,,,,,,,83,13852
,,,,,,,,84,13716
,,,,,,,,85,13519
,,,,,,,,86,13403
,,,,,,,,87,13298
,,,,,,,,88,13436
,,,,,,,,89,14375
,,,,,,,,90,15139
,,,,,,,,91,15022
,,,,,,,,92,14672
,,,,,,,,93,14110
,,,,,,,,94,13182
,,,,,,,,95,11999
,,,,,,,,96,10903
,,,,,,,,97,10204
,,,,,,,,98,9831
,,,,,,,,99,9642
,,,,,,,,100,9607
,,,,,,,,101,9854
,,,,,,,,102,10662
,,,,,,,,103,12198
,,,,,,,,104,13099
,,,,,,,,105,13194
,,,,,,,,106,13252
,,,,,,,,107,13193
,,,,,,,,108,13008
,,,,,,,,109,12847
,,,,,,,,110,12784
,,,,,,,,111,12683
,,,,,,,,112,12765
,,,,,,,,113,13576
,,,,,,,,114,14464
,,,,,,,,115,14411
,,,,,,,,116,14084
,,,,,,,,117,13558
,,,,,,,,118,12688
,,,,,,,,119,11520
,,,,,,,,120,10512
,,,,,,,,121,9852
,,,,,,,,122,9493
,,,,,,,,123,9310
,,,,,,,,124,9264
,,,,,,,,125,9490
,,,,,,,,126,10291
,,,,,,,,127,11800
,,,,,,,,128,12702
,,,,,,,,129,12808
,,,,,,,,130,12821
,,,,,,,,131,12765
,,,,,,,,132,12576
,,,,,,,,133,12368
,,,,,,,,134,12259
,,,,,,,,135,12089
,,,,,,,,136,12147
,,,,,,,,137,12856
,,,,,,,,138,13535
,,,,,,,,139,13317
,,,,,,,,140,12934
,,,,,,,,141,12422
,,,,,,,,142,11755
,,,,,,,,143,10849
,,,,,,,,144,9918
,,,,,,,,145,9197
,,,,,,,,146,8798
,,,,,,,,147,8581
,,,,,,,,148,8493
,,,,,,,,149,8578
