Time_Index,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCS100_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,TEGS,Liion_Moderate
0,1,0.4136,1,1,1,1,1,1,0.692882299,0.384483457,0,1,1
1,1,0.4135,1,1,1,1,1,1,0.756700516,0.346097022,0,1,1
2,1,0.4134,1,1,1,1,1,1,0.573801339,0.413734734,0,1,1
3,1,0.4132,1,1,1,1,1,1,0.457804859,0.397468507,0,1,1
4,1,0.4131,1,1,1,1,1,1,0.468307495,0.305138856,0,1,1
5,1,0.413,1,1,1,1,1,1,0.412337005,0.218113229,0,1,1
6,1,0.4128,1,1,1,1,1,1,0.262161821,0.190075591,0,1,1
7,1,0.4127,1,1,1,1,1,1,0.125884831,0.238697588,0,1,1
8,1,0.4126,1,1,1,1,1,1,0.016297188,0.150824949,0.334513426,1,1
9,1,0.4124,1,1,1,1,1,1,0.006198794,0.003497269,0.660980105,1,1
10,1,0.4123,1,1,1,1,1,1,0.004277106,0.001728771,0.805355787,1,1
11,1,0.4121,1,1,1,1,1,1,0.008617216,0.002243753,0.878206074,1,1
12,1,0.412,1,1,1,1,1,1,0.138515979,0.005647996,0.831473589,1,1
13,1,0.4119,1,1,1,1,1,1,0.164322734,0.008934942,0.820982039,1,1
14,1,0.4117,1,1,1,1,1,1,0.156825855,0.053456225,0.721481383,1,1
15,1,0.4116,1,1,1,1,1,1,0.114826486,0.083384603,0.52881074,1,1
16,1,0.4115,1,1,1,1,1,1,0.145545915,0.058695376,0.150312677,1,1
17,1,0.4113,1,1,1,1,1,1,0.555196047,0.286731839,0,1,1
18,1,0.4112,1,1,1,1,1,1,0.834268093,0.501727939,0,1,1
19,1,0.4111,1,1,1,1,1,1,0.727838516,0.487491697,0,1,1
20,1,0.4109,1,1,1,1,1,1,0.715845764,0.617845774,0,1,1
21,1,0.4108,1,1,1,1,1,1,0.997990251,0.560385287,0,1,1
22,1,0.4107,1,1,1,1,1,1,1,0.537659109,0,1,1
23,1,0.4105,1,1,1,1,1,1,1,0.466063112,0,1,1
24,1,0.4104,1,1,1,1,1,1,1,0.265835226,0,1,1
