Time_Index,None,TEXAS_reference_naturalgas,TEXAS_reference_naturalgas_ccs90,TEXAS_reference_naturalgas_ccs100,TEXAS_uranium
0,0,0.05306,0.00531,0,0
1,0,4.01,4.49,4.54,0.69
2,0,4.01,4.49,4.54,0.69
3,0,4.01,4.49,4.54,0.69
4,0,4.01,4.49,4.54,0.69
5,0,4.01,4.49,4.54,0.69
6,0,4.01,4.49,4.54,0.69
7,0,4.01,4.49,4.54,0.69
8,0,4.01,4.49,4.54,0.69
9,0,4.01,4.49,4.54,0.69
10,0,4.01,4.49,4.54,0.69
11,0,4.01,4.49,4.54,0.69
12,0,4.01,4.49,4.54,0.69
13,0,4.01,4.49,4.54,0.69
14,0,4.01,4.49,4.54,0.69
15,0,4.01,4.49,4.54,0.69
16,0,4.01,4.49,4.54,0.69
17,0,4.01,4.49,4.54,0.69
18,0,4.01,4.49,4.54,0.69
19,0,4.01,4.49,4.54,0.69
20,0,4.01,4.49,4.54,0.69
21,0,4.01,4.49,4.54,0.69
22,0,4.01,4.49,4.54,0.69
23,0,4.01,4.49,4.54,0.69
24,0,4.01,4.49,4.54,0.69
25,0,4.01,4.49,4.54,0.69
26,0,4.01,4.49,4.54,0.69
27,0,4.01,4.49,4.54,0.69
28,0,4.01,4.49,4.54,0.69
29,0,4.01,4.49,4.54,0.69
30,0,4.01,4.49,4.54,0.69
31,0,4.01,4.49,4.54,0.69
32,0,4.01,4.49,4.54,0.69
33,0,4.01,4.49,4.54,0.69
34,0,4.01,4.49,4.54,0.69
35,0,4.01,4.49,4.54,0.69
36,0,4.01,4.49,4.54,0.69
37,0,4.01,4.49,4.54,0.69
38,0,4.01,4.49,4.54,0.69
39,0,4.01,4.49,4.54,0.69
40,0,4.01,4.49,4.54,0.69
41,0,4.01,4.49,4.54,0.69
42,0,4.01,4.49,4.54,0.69
43,0,4.01,4.49,4.54,0.69
44,0,4.01,4.49,4.54,0.69
45,0,4.01,4.49,4.54,0.69
46,0,4.01,4.49,4.54,0.69
47,0,4.01,4.49,4.54,0.69
48,0,4.01,4.49,4.54,0.69
49,0,4.01,4.49,4.54,0.69
50,0,4.01,4.49,4.54,0.69
51,0,4.01,4.49,4.54,0.69
52,0,4.01,4.49,4.54,0.69
53,0,4.01,4.49,4.54,0.69
54,0,4.01,4.49,4.54,0.69
55,0,4.01,4.49,4.54,0.69
56,0,4.01,4.49,4.54,0.69
57,0,4.01,4.49,4.54,0.69
58,0,4.01,4.49,4.54,0.69
59,0,4.01,4.49,4.54,0.69
60,0,4.01,4.49,4.54,0.69
61,0,4.01,4.49,4.54,0.69
62,0,4.01,4.49,4.54,0.69
63,0,4.01,4.49,4.54,0.69
64,0,4.01,4.49,4.54,0.69
65,0,4.01,4.49,4.54,0.69
66,0,4.01,4.49,4.54,0.69
67,0,4.01,4.49,4.54,0.69
68,0,4.01,4.49,4.54,0.69
69,0,4.01,4.49,4.54,0.69
70,0,4.01,4.49,4.54,0.69
71,0,4.01,4.49,4.54,0.69
72,0,4.01,4.49,4.54,0.69
73,0,4.01,4.49,4.54,0.69
74,0,4.01,4.49,4.54,0.69
75,0,4.01,4.49,4.54,0.69
76,0,4.01,4.49,4.54,0.69
77,0,4.01,4.49,4.54,0.69
78,0,4.01,4.49,4.54,0.69
79,0,4.01,4.49,4.54,0.69
80,0,4.01,4.49,4.54,0.69
81,0,4.01,4.49,4.54,0.69
82,0,4.01,4.49,4.54,0.69
83,0,4.01,4.49,4.54,0.69
84,0,4.01,4.49,4.54,0.69
85,0,4.01,4.49,4.54,0.69
86,0,4.01,4.49,4.54,0.69
87,0,4.01,4.49,4.54,0.69
88,0,4.01,4.49,4.54,0.69
89,0,4.01,4.49,4.54,0.69
90,0,4.01,4.49,4.54,0.69
91,0,4.01,4.49,4.54,0.69
92,0,4.01,4.49,4.54,0.69
93,0,4.01,4.49,4.54,0.69
94,0,4.01,4.49,4.54,0.69
95,0,4.01,4.49,4.54,0.69
96,0,4.01,4.49,4.54,0.69
97,0,4.01,4.49,4.54,0.69
98,0,4.01,4.49,4.54,0.69
99,0,4.01,4.49,4.54,0.69
100,0,4.01,4.49,4.54,0.69
101,0,4.01,4.49,4.54,0.69
102,0,4.01,4.49,4.54,0.69
103,0,4.01,4.49,4.54,0.69
104,0,4.01,4.49,4.54,0.69
105,0,4.01,4.49,4.54,0.69
106,0,4.01,4.49,4.54,0.69
107,0,4.01,4.49,4.54,0.69
108,0,4.01,4.49,4.54,0.69
109,0,4.01,4.49,4.54,0.69
110,0,4.01,4.49,4.54,0.69
111,0,4.01,4.49,4.54,0.69
112,0,4.01,4.49,4.54,0.69
113,0,4.01,4.49,4.54,0.69
114,0,4.01,4.49,4.54,0.69
115,0,4.01,4.49,4.54,0.69
116,0,4.01,4.49,4.54,0.69
117,0,4.01,4.49,4.54,0.69
118,0,4.01,4.49,4.54,0.69
119,0,4.01,4.49,4.54,0.69
120,0,4.01,4.49,4.54,0.69
121,0,4.01,4.49,4.54,0.69
122,0,4.01,4.49,4.54,0.69
123,0,4.01,4.49,4.54,0.69
124,0,4.01,4.49,4.54,0.69
125,0,4.01,4.49,4.54,0.69
126,0,4.01,4.49,4.54,0.69
127,0,4.01,4.49,4.54,0.69
128,0,4.01,4.49,4.54,0.69
129,0,4.01,4.49,4.54,0.69
130,0,4.01,4.49,4.54,0.69
131,0,4.01,4.49,4.54,0.69
132,0,4.01,4.49,4.54,0.69
133,0,4.01,4.49,4.54,0.69
134,0,4.01,4.49,4.54,0.69
135,0,4.01,4.49,4.54,0.69
136,0,4.01,4.49,4.54,0.69
137,0,4.01,4.49,4.54,0.69
138,0,4.01,4.49,4.54,0.69
139,0,4.01,4.49,4.54,0.69
140,0,4.01,4.49,4.54,0.69
141,0,4.01,4.49,4.54,0.69
142,0,4.01,4.49,4.54,0.69
143,0,4.01,4.49,4.54,0.69
144,0,4.01,4.49,4.54,0.69
145,0,4.01,4.49,4.54,0.69
146,0,4.01,4.49,4.54,0.69
147,0,4.01,4.49,4.54,0.69
148,0,4.01,4.49,4.54,0.69
149,0,4.01,4.49,4.54,0.69
150,0,4.01,4.49,4.54,0.69
151,0,4.01,4.49,4.54,0.69
152,0,4.01,4.49,4.54,0.69
153,0,4.01,4.49,4.54,0.69
154,0,4.01,4.49,4.54,0.69
155,0,4.01,4.49,4.54,0.69
156,0,4.01,4.49,4.54,0.69
157,0,4.01,4.49,4.54,0.69
158,0,4.01,4.49,4.54,0.69
159,0,4.01,4.49,4.54,0.69
160,0,4.01,4.49,4.54,0.69
161,0,4.01,4.49,4.54,0.69
162,0,4.01,4.49,4.54,0.69
163,0,4.01,4.49,4.54,0.69
164,0,4.01,4.49,4.54,0.69
165,0,4.01,4.49,4.54,0.69
166,0,4.01,4.49,4.54,0.69
167,0,4.01,4.49,4.54,0.69
168,0,4.01,4.49,4.54,0.69
169,0,4.01,4.49,4.54,0.69
170,0,4.01,4.49,4.54,0.69
171,0,4.01,4.49,4.54,0.69
172,0,4.01,4.49,4.54,0.69
173,0,4.01,4.49,4.54,0.69
174,0,4.01,4.49,4.54,0.69
175,0,4.01,4.49,4.54,0.69
176,0,4.01,4.49,4.54,0.69
177,0,4.01,4.49,4.54,0.69
