Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1
2000,1,1,1,2000,1,168,1,1,45122
,2,0.9,0.04,1800,,,,2,43952
,3,0.55,0.024,1100,,,,3,42960
,4,0.2,0.003,400,,,,4,42128
,,,,,,,,5,41789
,,,,,,,,6,41637
,,,,,,,,7,42299
,,,,,,,,8,43681
,,,,,,,,9,44680
,,,,,,,,10,45977
,,,,,,,,11,47157
,,,,,,,,12,47530
,,,,,,,,13,47468
,,,,,,,,14,47201
,,,,,,,,15,46554
,,,,,,,,16,45759
,,,,,,,,17,45390
,,,,,,,,18,45700
,,,,,,,,19,48527
,,,,,,,,20,52856
,,,,,,,,21,53590
,,,,,,,,22,53501
,,,,,,,,23,53036
,,,,,,,,24,51497
,,,,,,,,25,49498
,,,,,,,,26,47901
,,,,,,,,27,47334
,,,,,,,,28,47431
,,,,,,,,29,48012
,,,,,,,,30,49502
,,,,,,,,31,52446
,,,,,,,,32,56403
,,,,,,,,33,58578
,,,,,,,,34,58972
,,,,,,,,35,58908
,,,,,,,,36,58445
,,,,,,,,37,56997
,,,,,,,,38,55350
,,,,,,,,39,53560
,,,,,,,,40,52093
,,,,,,,,41,51394
,,,,,,,,42,51862
,,,,,,,,43,55485
,,,,,,,,44,60546
,,,,,,,,45,61576
,,,,,,,,46,61838
,,,,,,,,47,60949
,,,,,,,,48,58455
,,,,,,,,49,55736
,,,,,,,,50,54236
,,,,,,,,51,53930
,,,,,,,,52,54352
,,,,,,,,53,55494
,,,,,,,,54,58087
,,,,,,,,55,63098
,,,,,,,,56,70216
,,,,,,,,57,72135
,,,,,,,,58,69715
,,,,,,,,59,66406
,,,,,,,,60,63372
,,,,,,,,61,60632
,,,,,,,,62,58301
,,,,,,,,63,56483
,,,,,,,,64,54864
,,,,,,,,65,54064
,,,,,,,,66,54438
,,,,,,,,67,57865
,,,,,,,,68,62848
,,,,,,,,69,63643
,,,,,,,,70,63459
,,,,,,,,71,61703
,,,,,,,,72,58193
,,,,,,,,73,54495
,,,,,,,,74,52283
,,,,,,,,75,51395
,,,,,,,,76,51125
,,,,,,,,77,51419
,,,,,,,,78,53102
,,,,,,,,79,57413
,,,,,,,,80,64022
,,,,,,,,81,65619
,,,,,,,,82,63257
,,,,,,,,83,60737
,,,,,,,,84,58409
,,,,,,,,85,56508
,,,,,,,,86,54920
,,,,,,,,87,53829
,,,,,,,,88,52910
,,,,,,,,89,52114
,,,,,,,,90,52248
,,,,,,,,91,54554
,,,,,,,,92,58402
,,,,,,,,93,58589
,,,,,,,,94,58080
,,,,,,,,95,56376
,,,,,,,,96,53221
,,,,,,,,97,49791
,,,,,,,,98,47834
,,,,,,,,99,47109
,,,,,,,,100,46966
,,,,,,,,101,47540
,,,,,,,,102,49257
,,,,,,,,103,53627
,,,,,,,,104,60361
,,,,,,,,105,62304
,,,,,,,,106,60190
,,,,,,,,107,58138
,,,,,,,,108,56613
,,,,,,,,109,55161
,,,,,,,,110,53940
,,,,,,,,111,53203
,,,,,,,,112,52440
,,,,,,,,113,51957
,,,,,,,,114,51937
,,,,,,,,115,53765
,,,,,,,,116,57241
,,,,,,,,117,57313
,,,,,,,,118,56664
,,,,,,,,119,54608
,,,,,,,,120,51256
,,,,,,,,121,47889
,,,,,,,,122,45767
,,,,,,,,123,44605
,,,,,,,,124,44133
,,,,,,,,125,44325
,,,,,,,,126,45437
,,,,,,,,127,48996
,,,,,,,,128,54885
,,,,,,,,129,56894
,,,,,,,,130,55369
,,,,,,,,131,54522
,,,,,,,,132,53915
,,,,,,,,133,53148
,,,,,,,,134,52563
,,,,,,,,135,52400
,,,,,,,,136,52134
,,,,,,,,137,51744
,,,,,,,,138,51317
,,,,,,,,139,52064
,,,,,,,,140,54456
,,,,,,,,141,53708
,,,,,,,,142,52417
,,,,,,,,143,50810
,,,,,,,,144,48707
,,,,,,,,145,45839
,,,,,,,,146,43679
,,,,,,,,147,42237
,,,,,,,,148,41319
,,,,,,,,149,41138
,,,,,,,,150,41544
,,,,,,,,151,42947
,,,,,,,,152,45335
,,,,,,,,153,47376
,,,,,,,,154,49400
,,,,,,,,155,51228
,,,,,,,,156,52040
,,,,,,,,157,52021
,,,,,,,,158,51489
,,,,,,,,159,50639
,,,,,,,,160,50094
,,,,,,,,161,49895
,,,,,,,,162,49851
,,,,,,,,163,51348
,,,,,,,,164,53965
,,,,,,,,165,53808
,,,,,,,,166,52851
,,,,,,,,167,51362
,,,,,,,,168,49349
,,,,,,,,169,47011
,,,,,,,,170,44894
,,,,,,,,171,43626
,,,,,,,,172,42937
,,,,,,,,173,42858
,,,,,,,,174,43147
,,,,,,,,175,44161
,,,,,,,,176,45974
,,,,,,,,177,47640
,,,,,,,,178,49248
,,,,,,,,179,50861
,,,,,,,,180,51325
,,,,,,,,181,51268
,,,,,,,,182,51417
,,,,,,,,183,51133
,,,,,,,,184,50706
,,,,,,,,185,50649
,,,,,,,,186,51213
,,,,,,,,187,53714
,,,,,,,,188,56602
,,,,,,,,189,56591
,,,,,,,,190,55478
,,,,,,,,191,53395
,,,,,,,,192,50280
,,,,,,,,193,46849
,,,,,,,,194,44400
,,,,,,,,195,43403
,,,,,,,,196,43290
,,,,,,,,197,43546
,,,,,,,,198,44758
,,,,,,,,199,48583
,,,,,,,,200,54933
,,,,,,,,201,57730
,,,,,,,,202,57865
,,,,,,,,203,58663
,,,,,,,,204,59244
,,,,,,,,205,60126
,,,,,,,,206,60238
,,,,,,,,207,60230
,,,,,,,,208,59744
,,,,,,,,209,59283
,,,,,,,,210,59769
,,,,,,,,211,62198
,,,,,,,,212,64643
,,,,,,,,213,63892
,,,,,,,,214,62361
,,,,,,,,215,59806
,,,,,,,,216,55457
,,,,,,,,217,51792
,,,,,,,,218,49252
,,,,,,,,219,48013
,,,,,,,,220,47719
,,,,,,,,221,48024
,,,,,,,,222,49831
,,,,,,,,223,54201
,,,,,,,,224,61075
,,,,,,,,225,63759
,,,,,,,,226,62507
,,,,,,,,227,62095
,,,,,,,,228,62189
,,,,,,,,229,61544
,,,,,,,,230,60445
,,,,,,,,231,59798
,,,,,,,,232,59028
,,,,,,,,233,58646
,,,,,,,,234,58783
,,,,,,,,235,60976
,,,,,,,,236,64592
,,,,,,,,237,64629
,,,,,,,,238,63719
,,,,,,,,239,61312
,,,,,,,,240,57282
,,,,,,,,241,53666
,,,,,,,,242,51555
,,,,,,,,243,50641
,,,,,,,,244,50612
,,,,,,,,245,51314
,,,,,,,,246,53231
,,,,,,,,247,57907
,,,,,,,,248,65406
,,,,,,,,249,67011
,,,,,,,,250,63944
,,,,,,,,251,60776
,,,,,,,,252,58515
,,,,,,,,253,56670
,,,,,,,,254,54788
,,,,,,,,255,53879
,,,,,,,,256,53131
,,,,,,,,257,52806
,,,,,,,,258,52992
,,,,,,,,259,54608
,,,,,,,,260,58459
,,,,,,,,261,58885
