Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t2,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t3,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t4,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t5,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t6,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t7,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t8,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t9,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t10,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t11,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t12,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t13,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t14,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t15,1087.5423822898167,0.0,0.0,0.0,0.0,732.3870049578994,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t16,1087.5423822898167,0.0,0.0,0.0,0.0,1250.6864345979147,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t17,1087.5423822898167,0.0,0.0,0.0,0.0,1250.6864345979147,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t18,1087.5423822898167,0.0,0.0,0.0,0.0,1250.6864345979147,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t19,1087.5423822898167,0.0,0.0,0.0,0.0,1250.6864345979147,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t20,1087.5423822898167,0.0,0.0,0.0,0.0,1250.6864345979147,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t21,1087.5423822898167,0.0,0.0,0.0,0.0,1250.6864345979147,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t22,1087.5423822898167,0.0,0.0,0.0,0.0,381.8300929084072,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t23,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t24,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t25,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t26,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t27,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
t28,1087.5423822898167,0.0,0.0,0.0,0.0,0.0,5895.292079474782,0.0,0.0,0.0,0.0,0.0,0.0
