Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,3.8724893073237516e7,0.0,0.0,96646.67137617806,146018.24989330818,3.994723686021109e6,1.3803575790069306e7,0.0,0.0,1.7808793591585844e6,4.056654092537299e7,1.1716716259650333e7,0.0,1.1082999401477931e8
t1,4912.080262946626,0.0,0.0,0.0,0.0,764.5269220124133,2601.695063697857,0.0,0.0,353.6835187269435,0.0,602.0142326161599,0.0,9233.999999999998
t2,4912.080262946626,0.0,0.0,0.0,0.0,764.5269220124133,2601.695063697857,0.0,0.0,318.37211805416837,0.0,135.32563328893502,0.0,8732.0
t3,4912.080262946626,0.0,0.0,0.0,0.0,464.6331189556122,2601.695063697857,0.0,0.0,380.59155439990445,0.0,0.0,0.0,8359.0
t4,4912.080262946626,0.0,0.0,0.0,0.0,348.62427643766046,2601.695063697857,0.0,0.0,365.628371206898,0.0,0.0,0.0,8228.027974289042
t5,4912.080262946626,0.0,0.0,0.0,0.0,348.62427643766046,2601.695063697857,0.0,0.0,280.69500085252366,0.0,0.0,0.0,8143.094603934667
t6,4912.080262946626,0.0,0.0,0.0,0.0,571.583909990717,2601.695063697857,0.0,0.0,200.64076336479968,0.0,0.0,0.0,8286.0
t7,4912.080262946626,0.0,0.0,0.0,0.0,764.5269220124133,2601.695063697857,0.0,0.0,174.84914532742732,0.0,140.84860601567607,0.0,8593.999999999998
t8,4912.080262946626,0.0,0.0,0.0,0.0,489.29723008794446,1665.0848407666285,0.0,0.0,219.57616458769007,0.0,1586.9615016111104,0.0,8873.0
t9,4912.080262946626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,138.742766958977,5443.206596825638,0.0,0.0,10494.02962673124
t10,4912.080262946626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.217112162655891,10755.476427144971,0.0,0.0,15670.773802254254
t11,4912.080262946626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.5902837930244393,13104.7593067015,0.0,0.0,18018.42985344115
t12,4912.080262946626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.064011966564666,14290.180075968445,0.0,0.0,19204.324350881638
t13,2210.4361183259816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.1955501925164524,13529.748503221781,0.0,0.0,15745.380171740278
t14,2210.4361183259816,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8.219187766461474,13359.029872122872,0.0,0.0,15577.685178215315
t15,2247.063911747819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49.17399022413487,11739.953969538086,0.0,0.0,14036.19187151004
t16,4912.080262946626,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76.70488615246151,8604.814888476994,0.0,0.0,13593.600037576081
t17,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1217.5979693881459,0.0,0.0,53.993446892778536,2445.889735477827,2463.438585294622,0.0,11093.0
t18,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,263.7625206032444,0.0,4948.660389281152,0.0,12027.0
t19,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,461.53585980980824,0.0,4679.887050074588,0.0,11956.0
t20,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,448.44004496435946,0.0,4327.982864920037,0.0,11591.0
t21,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,568.351806561332,0.0,3779.071103323064,0.0,11162.0
t22,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,515.4943250236433,0.0,3234.928584860753,0.0,10565.0
t23,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,494.5886801749066,0.0,2515.8342297094896,0.0,9825.0
t24,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,428.7280464214948,0.0,1751.6948634629014,0.0,8995.0
t25,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,244.53987921060252,0.0,1233.8830306737937,0.0,8293.0
t26,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,261.2032816512521,0.0,792.2196282331438,0.0,7868.0
t27,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,317.7263046365763,0.0,531.6966052478197,0.0,7664.0
t28,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,619.1798696166825,0.0,183.24304026771347,0.0,7617.0
t29,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,577.0004517460848,0.0,393.4224581383112,0.0,7785.0
t30,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,421.089038649603,0.0,974.3338712347921,0.0,8209.999999999998
t31,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1902.496827168978,0.0,0.0,335.01660474158496,0.0,1698.406305142811,0.0,8848.0
t32,4912.080262946626,0.0,0.0,0.0,0.0,0.0,1826.7666590205522,0.0,0.0,292.2325230127717,0.0,2340.92055502005,0.0,9372.0
t33,4912.080262946626,0.0,0.0,0.0,0.0,0.0,609.1686896324063,0.0,0.0,240.58357440423532,4787.554384295536,0.0,0.0,10549.386911278803
