BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,9.911327775512901e7,1.1716716259650333e7,-1.3843001251949819e7,0.0,0.0,43027.23717048406,0.0,0.0,0.0,-9.703002e7
t1,8631.985767383838,602.0142326161599,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,8596.674366711064,135.32563328893502,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,8359.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,8228.027974289042,0.0,-57.02797428904182,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8143.094603934667,0.0,-1.0946039346672478,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8453.151393984323,140.84860601567607,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,7286.038498388889,1586.9615016111104,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,10494.02962673124,0.0,-1148.0296267312415,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,15670.773802254254,0.0,-5861.7738022542535,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,18018.42985344115,0.0,-7929.429853441151,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,19204.324350881638,0.0,-9012.324350881636,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,15745.380171740278,0.0,-5503.3801717402785,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,15577.685178215315,0.0,-5427.685178215315,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,14036.19187151004,0.0,-3987.191871510039,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,13593.600037576081,0.0,-3485.6000375760823,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,8629.561414705378,2463.438585294622,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,7078.339610718848,4948.660389281152,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,7276.112949925412,4679.887050074588,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,7263.017135079963,4327.982864920037,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,7382.928896676935,3779.071103323064,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,7330.071415139248,3234.928584860753,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,7309.16577029051,2515.8342297094896,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,7243.305136537098,1751.6948634629014,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,7059.116969326206,1233.8830306737937,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,7075.780371766856,792.2196282331438,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
