Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.17218781058502
t2,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.18268143393854
t3,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.193179431807774
t4,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.20368180601634
t5,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.214188558388624
t6,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.22469969074976
t7,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45.72224341069294,-25.23521520492565
t8,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-25.245735102742966
t9,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t10,0.0,0.0,-75.44842268351486,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602295
t11,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.090099791185282
t12,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858585
t13,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602294
t14,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t15,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-25.823616510475258
t16,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-25.834381697328535
t17,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.84515137190521
t18,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.855925536076093
t19,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.86670419171278
t20,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.877487340687647
t21,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.888274984873846
t22,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.89906712614531
t23,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.909863766376763
t24,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.920664907443694
t25,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.93147055122239
t26,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.942280699589908
t27,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.953095354424097
t28,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.963914517603584
t29,0.0,0.0,-59.68857129770256,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47.555078524305586,-25.974738191007777
