Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4.4309897816671556e8
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,3.5715315909508455e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,2.783016414309644e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,9.552095044633234e-10
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,2.0734220057602186e9
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,5.041821175372082e8
NENGREST,Liion_Moderate,1,1,1.5000877498409659e7
NENGREST,TEGS,1,1,3.7789453167724335e8
