region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,2.5847911686783513e8,0.0,7.286891396447572e7,0.0,1.7162105385113265e7,2.5566645823782983e8,0.0,1.976398000852603e7,0.0,8.219984847377537e8,0.0,0.0,0.0,1.9805791027396768e8,0.0,8.219984847377537e8,8.219984847377477e8,6.079673767089844e-6
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,1.2417509540085258e8,0.0,3.3951145247678846e7,0.0,3.91361528531152e6,3.179522811784492e7,0.0,4.851225740757848e6,0.0,2.2353475449255455e8,0.0,0.0,0.0,2.484844470010948e7,0.0,2.2353475449255455e8,2.235347544925552e8,-6.556510925292969e-7
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,8.772875828871838e8,0.0,3.743265563196608e8,0.0,2.4896777876388294e8,1.3337996455809417e9,0.0,7.695514544323449e7,0.0,3.0031733160023866e9,0.0,0.0,0.0,9.183660697688222e7,0.0,3.0031733160023866e9,3.0031733159717855e9,0.030601024627685547
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,0.0,0.0,0.0,0.0,4.999576660715132e-10,2.846338986171696e-9,0.0,1.6159447113750502e-9,0.0,5.135030158150803e-9,0.0,0.0,0.0,0.0,0.0,5.135030158150803e-9,4.962241363618259e-9,1.7278879453254358e-10
NENGREST,NENGREST_nuclear_1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,5.233844665127969e7,0.0,1.97066799345364e7,0.0,0.0,0.0,0.0,0.0,0.0,7.20451265859247e7,0.0,0.0,0.0,0.0,0.0,7.20451265859247e7,7.204512658581609e7,0.00010861456394195557
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,1.0333291294723727e9,0.0,2.9134313542807376e8,0.0,0.0,0.0,0.0,0.0,0.0,1.3246722649004447e9,0.0,0.0,0.0,0.0,0.0,1.3246722649004447e9,1.3246722649004464e9,-1.6689300537109375e-6
NENGREST,Liion_Moderate,1,1,12,1.4766931964986584e8,3.3083206010788e8,4.401261803875362e7,9.862086634609608e7,0.0,0.0,2.163504168425677e6,0.0,4.0803854548801005e8,1.0313369137990317e9,0.0,0.0,0.0,0.0,0.0,1.0313369137990317e9,1.0313369137990313e9,4.76837158203125e-7
NENGREST,TEGS,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
