Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,8.581052692556633e6,2669.1909877097332,0.36699218215861273
NaturalGas_CTAvgCF_Moderate,1,782723.057062304,1624.4567104152559,0.05500420330092406
NaturalGas_CCCCSAvgCF_Moderate,1,4.149462979398049e7,6197.459541716238,0.7643180005086146
NaturalGas_CCS100_Moderate,1,8.332627767858553e-11,0.0,0.0
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,1.06542854722846e6,595.2420918396834,0.20432739056867866
UtilityPV_Class1_Moderate_100_0.2,1,4.73037454248773e7,19441.02064780954,0.27776169969354775
Liion_Moderate,1,1.2207932854369888e7,9702.958121418347,0.0
TEGS,1,0.0,0.0,0.0
