region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,9.753209665796635e8,0.0,2.74956756517326e8,0.0,1.3340672282628685e8,1.9873799609515765e9,0.0,2.4762121726693287e7,0.0,3.39582652860165e9,0.0,0.0,0.0,0.0,0.0,3.39582652860165e9,3.3958265286015463e9,0.00010395050048828125
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,1.909481316123293e8,0.0,5.220779360157091e7,0.0,6.541095358233625e6,5.3141559375083014e7,0.0,5.177741398264748e6,0.0,3.080163213454822e8,0.0,0.0,0.0,0.0,0.0,3.080163213454822e8,3.0801632134548163e8,5.364418029785156e-7
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,0.0,0.0,0.0,0.0,-5.448657839772211e-11,-2.919019453707206e-10,0.0,1.0383580474699119e-10,0.0,-2.9965656455615864e-10,0.0,0.0,0.0,0.0,0.0,-2.9965656455615864e-10,-2.425527190214515e-10,-5.710384553470713e-11
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,0.0,0.0,0.0,0.0,5.976296961307526e-11,3.402401480823755e-10,0.0,0.0,0.0,4.443767698292855e-10,0.0,0.0,0.0,0.0,0.0,4.443767698292855e-10,4.000031176954508e-10,4.437365213383471e-11
NENGREST,NENGREST_nuclear_1,1,1,8,0.0,0.0,0.0,0.0,2.13485156350276e-11,6.641412790700355e-11,0.0,2.0971877829116934e-10,0.0,3.08697089617061e-10,0.0,0.0,0.0,0.0,0.0,3.08697089617061e-10,2.9748142183320047e-10,1.1215667783860544e-11
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,6.382630941163234e8,0.0,1.7995580088100582e8,0.0,0.0,0.0,0.0,0.0,0.0,8.182188949973313e8,0.0,0.0,0.0,0.0,0.0,8.182188949973313e8,8.182188949973292e8,2.0265579223632812e-6
NENGREST,Liion_Moderate,1,1,12,7.303728921568501e7,1.636296348707534e8,2.176865391171215e7,4.87779096910587e7,0.0,0.0,951809.5421808054,0.0,1.5142252212938488e8,4.5958781936077493e8,0.0,0.0,0.0,0.0,0.0,4.5958781936077493e8,4.5958781936077493e8,0.0
NENGREST,TEGS,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
