Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,6.91845542077306e7,2.5660541265772493e6,0.0,0.0,0.0,0.0,2.357361936094654e7,2.210384480746202e6,0.0,513713.13105448807,9.804832530705509e7
t1,0.0,0.0,0.0,5156.829272850644,0.0,0.0,0.0,0.0,0.0,4077.170727149356,0.0,0.0,0.0,9234.0
t2,0.0,0.0,0.0,5078.919054716567,0.0,0.0,0.0,0.0,0.0,4005.7166309848035,0.0,0.0,0.0,9084.63568570137
t3,0.0,0.0,0.0,5078.919054716567,0.0,0.0,0.0,0.0,0.0,4122.186807733024,0.0,0.0,0.0,9201.10586244959
t4,0.0,0.0,0.0,5078.919054716567,0.0,0.0,0.0,0.0,0.0,3555.555825148124,0.0,0.0,0.0,8634.47487986469
t5,0.0,0.0,0.0,5372.439232661952,0.0,0.0,0.0,0.0,0.0,2769.560767338048,0.0,0.0,0.0,8142.0
t6,0.0,0.0,0.0,6408.900893757211,0.0,0.0,0.0,0.0,0.0,1877.0991062427895,0.0,0.0,0.0,8286.0
t7,0.0,0.0,0.0,7012.720851878457,0.0,0.0,0.0,0.0,0.0,1581.2791481215431,0.0,0.0,0.0,8594.0
t8,0.0,0.0,0.0,7401.27030251925,0.0,0.0,0.0,0.0,0.0,1459.0926436801585,12.637053800591527,0.0,0.0,8873.000000000002
t9,0.0,0.0,0.0,8319.831109825898,0.0,0.0,0.0,0.0,0.0,831.7256793553892,194.44321081871146,0.0,0.0,9346.0
t10,0.0,0.0,0.0,8671.6299373096,0.0,0.0,0.0,0.0,0.0,700.2501424126128,437.1199202777865,0.0,0.0,9809.0
t11,0.0,0.0,0.0,8822.090679524837,0.0,0.0,0.0,0.0,0.0,554.4837862369261,712.4255342382362,0.0,0.0,10089.0
t12,0.0,0.0,0.0,8910.355795297122,0.0,0.0,0.0,0.0,0.0,585.9235885493291,695.7206161535493,0.0,0.0,10192.0
t13,0.0,0.0,0.0,8984.738811115592,0.0,0.0,0.0,0.0,0.0,763.129747037419,494.13144184698757,0.0,0.0,10242.0
t14,0.0,0.0,0.0,8896.131047757992,0.0,0.0,0.0,0.0,0.0,962.4866753365197,291.38227690548763,0.0,0.0,10150.0
t15,0.0,0.0,0.0,9021.936918707073,0.0,0.0,0.0,0.0,0.0,914.6124309062699,112.45065038665517,0.0,0.0,10049.0
t16,0.0,0.0,0.0,9104.241468762308,0.0,0.0,0.0,0.0,0.0,975.3484126461394,28.410118591553427,0.0,0.0,10108.0
t17,0.0,0.0,0.0,9825.065933427657,0.0,0.0,0.0,0.0,0.0,1266.8811249975129,1.0529415748305675,0.0,0.0,11093.0
t18,0.0,0.0,0.0,10852.391142556768,0.0,0.0,0.0,0.0,0.0,933.9050368706991,0.0,0.0,240.70382057253335,12027.0
t19,0.0,0.0,0.0,10852.391142556768,0.0,0.0,0.0,0.0,0.0,1085.3877207395499,0.0,0.0,18.221136703682532,11956.0
t20,0.0,0.0,0.0,10592.786276581204,0.0,0.0,0.0,0.0,0.0,998.213723418796,0.0,0.0,0.0,11591.0
t21,0.0,0.0,0.0,9737.205322478827,0.0,0.0,0.0,0.0,0.0,1424.7946775211733,0.0,0.0,0.0,11162.0
t22,0.0,0.0,0.0,9012.302490344278,0.0,0.0,0.0,0.0,0.0,1552.6975096557221,0.0,0.0,0.0,10565.0
t23,0.0,0.0,0.0,8053.652956080748,0.0,0.0,0.0,0.0,0.0,1771.3470439192522,0.0,0.0,0.0,9825.0
t24,0.0,0.0,0.0,6644.874777147874,0.0,0.0,0.0,0.0,0.0,2350.125222852126,0.0,0.0,0.0,8995.0
t25,0.0,0.0,0.0,5750.663258465228,0.0,0.0,0.0,0.0,0.0,2542.336741534772,0.0,0.0,0.0,8293.0
t26,0.0,0.0,0.0,5610.050561200146,0.0,0.0,0.0,0.0,0.0,2257.949438799854,0.0,0.0,0.0,7868.0
t27,0.0,0.0,0.0,5078.919054716567,0.0,0.0,0.0,0.0,0.0,2639.514312318563,0.0,0.0,0.0,7718.43336703513
t28,0.0,0.0,0.0,5078.919054716567,0.0,0.0,0.0,0.0,0.0,2859.5929285053844,0.0,0.0,0.0,7938.511983221952
t29,0.0,0.0,0.0,5185.499981533587,0.0,0.0,0.0,0.0,0.0,2599.5000184664136,0.0,0.0,0.0,7785.0
t30,0.0,0.0,0.0,5981.346740627612,0.0,0.0,0.0,0.0,0.0,2228.6532593723873,0.0,0.0,0.0,8210.0
t31,0.0,0.0,0.0,6832.994488159625,0.0,0.0,0.0,0.0,0.0,2015.0055118403754,0.0,0.0,0.0,8848.0
t32,0.0,0.0,0.0,7248.520886116224,0.0,0.0,0.0,0.0,0.0,2115.7557874323943,7.7233264513822135,0.0,0.0,9372.0
t33,0.0,0.0,0.0,7624.819197174854,0.0,0.0,0.0,0.0,0.0,2334.4053216959246,53.7754811292218,0.0,0.0,10013.0
t34,0.0,0.0,0.0,7958.950953442687,0.0,0.0,0.0,0.0,0.0,2421.5793190166783,290.4697275406345,0.0,0.0,10671.0
t35,0.0,0.0,0.0,7950.085056481112,0.0,0.0,0.0,0.0,0.0,2765.9880625298206,436.92688098906757,0.0,0.0,11153.0
t36,0.0,0.0,0.0,7671.532698100832,0.0,0.0,0.0,0.0,0.0,3118.2567566210637,560.2105452781046,0.0,0.0,11350.000000000002
t37,0.0,0.0,0.0,7411.044868035769,0.0,0.0,0.0,0.0,0.0,3200.428967210299,720.5261647539327,0.0,0.0,11332.0
t38,0.0,0.0,0.0,7217.855398509395,0.0,0.0,0.0,0.0,0.0,3467.6672868657247,572.4773146248807,0.0,0.0,11258.0
t39,0.0,0.0,0.0,6921.059984515258,0.0,0.0,0.0,0.0,0.0,3919.2571746256954,382.68284085904617,0.0,0.0,11223.0
