Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.025050260815853
t2,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.036733167526762
t3,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.04842094453435
t4,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.060113593868916
t5,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.071811117561605
t6,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.01337222237217
t7,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.56609247990117,-28.025050260815853
t8,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.35236614785691
t9,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.36210113540003
t10,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.371840181203538
t11,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.381583286959213
t12,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.391330454359547
t13,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.40108168509773
t14,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.410836980867657
t15,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.420596343363936
t16,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-23.430359774281882
t17,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062828,-23.440127275317508
t18,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062828,-23.44989884816754
t19,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062828,-23.45967449452941
t20,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.46945421610126
t21,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.44013134713191
t22,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.440127275317504
t23,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.449898848167535
t24,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.459674494529406
t25,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.469454216101255
t26,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.44013134713191
t27,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.440127275317504
t28,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-23.449898848167535
t29,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-29.104225499772202
t30,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-29.116358286270092
t31,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-29.128496130607715
t32,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.14781388062827,-29.140639034893557
t33,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.716346880461186,-29.152787001236973
t34,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.716346880461186,-29.164940031748202
t35,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.716346880461186,-29.177098128538365
t36,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.716346880461186,-29.189261293719458
t37,0.0,0.0,-67.55230517438162,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9.716346880461186,-29.201429529404365
