Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,1.9202182528557925e9
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,1.4769526407497597e8
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,1.5089147643685356e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,2.239676858886582e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,0.0
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,9.564614740304004e7
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.1982093485093255e9
NENGREST,Liion_Moderate,1,1,1.006425890948406e9
NENGREST,TEGS,1,1,0.0
