Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,3591.7569592464806,0.0,0.0,0.0,0.0,5061.982624371435,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,3591.7569592464806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,3591.7569592464806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,3591.7569592464806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,2980.7650743313875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,2980.7650743313875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,2980.7650743313875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,2980.7650743313875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,3591.7569592464806,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,3591.7569592464806,0.0,0.0,0.0,0.0,3272.2478350164465,0.0,0.0,0.0,0.0,0.0,0.0,0.0
