region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,9.678826731041695e7,0.0,2.7285979652351175e7,0.0,2.950385660943546e6,4.395233774892513e7,0.0,5.76998399988417e6,0.0,2.3810630842533356e8,0.0,0.0,0.0,6.135935405281309e7,0.0,2.3810630842533356e8,2.3810630842533404e8,-4.76837158203125e-7
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,1.0443621296592294e8,0.0,2.8554268664562073e7,0.0,2.72653268810331e6,2.2151060456650183e7,0.0,4.043864525389588e6,0.0,1.930754687683729e8,0.0,0.0,0.0,3.1163529467744257e7,0.0,1.930754687683729e8,1.9307546876837236e8,5.364418029785156e-7
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,1.1337021408239367e9,0.0,4.8373512465572476e8,0.0,2.869060591245403e8,1.5370470904923189e9,0.0,9.566844782404007e7,0.0,3.727040699634119e9,0.0,0.0,0.0,1.8998183671807364e8,0.0,3.727040699634119e9,3.727040699638634e9,-0.004515171051025391
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,0.0,0.0,0.0,0.0,-2.7284841053187847e-12,-1.5533696569036696e-11,0.0,0.0,0.0,-4.225505780427275e-11,0.0,0.0,0.0,0.0,0.0,-4.225505780427275e-11,-1.826218067435548e-11,-2.399287712991727e-11
NENGREST,NENGREST_nuclear_1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,6.4099083115622774e7,0.0,2.4134841514749832e7,0.0,0.0,0.0,0.0,0.0,0.0,8.823392463037144e7,0.0,0.0,0.0,0.0,0.0,8.823392463037144e7,8.823392463037261e7,-1.1771917343139648e-6
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,1.0525134554108233e9,0.0,2.9675208162979e8,0.0,0.0,0.0,0.0,0.0,0.0,1.349265537040609e9,0.0,0.0,0.0,0.0,0.0,1.349265537040609e9,1.3492655370406134e9,-4.5299530029296875e-6
NENGREST,Liion_Moderate,1,1,12,1.5113031970379746e8,3.3858593735598123e8,4.504416388569717e7,1.009322931512844e8,0.0,0.0,2.1062064585287534e6,0.0,3.9526800335067636e8,1.0330669239059671e9,0.0,0.0,0.0,0.0,0.0,1.0330669239059671e9,1.0330669239059653e9,1.7881393432617188e-6
NENGREST,TEGS,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
