BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,9.916830056554948e7,1.1884620976658247e7,-1.404137639019169e7,0.0,0.0,18474.84798404503,0.0,0.0,0.0,-9.703002e7
t1,8289.146244497453,944.8537555025459,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,8261.162720619082,470.8372793809167,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,8310.470282752176,48.52971724782492,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,8171.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8142.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8167.863159785677,118.13684021432255,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8147.423858442217,446.5761415577826,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,7911.709468848719,961.2905311512814,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9346.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,14490.119252701834,0.0,-4681.119252701836,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,17347.750630197683,0.0,-7258.750630197683,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,18790.704076694266,0.0,-8598.704076694265,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,17867.7912381235,0.0,-7625.791238123502,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,17662.434215946178,0.0,-7512.434215946185,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,15724.582607744842,0.0,-5675.582607744842,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,11931.145052528864,0.0,-1823.1450525288637,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,8862.689228409217,2230.3107715907845,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,7153.625657259326,4873.374342740674,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,7310.356765477808,4645.643234522192,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,7299.978614499597,4291.021385500403,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,7395.006100807528,3766.9938991924723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,7353.117686058215,3211.8823139417846,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,7336.550413147169,2488.4495868528306,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,7284.35728055631,1710.6427194436897,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,7138.392128309253,1154.6078716907473,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,7151.597515555542,716.4024844444587,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,7196.39079288953,467.6092071104704,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,7435.2862451547135,181.7137548452862,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,7401.85996569059,383.1400343094101,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,7278.303531559703,931.6964684402977,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,7210.0929830217265,1637.907016978274,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,7176.18752048381,2195.8124795161903,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,10013.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,13490.709544474543,0.0,-2819.7095444745414,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,18219.69140939834,0.0,-7066.691409398338,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,19877.12920242621,0.0,-8527.12920242621,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,19815.10488399188,0.0,-8483.10488399188,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,18636.47212009851,0.0,-7378.47212009851,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,16523.184380483886,0.0,-5300.184380483889,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
t40,13036.0538881436,0.0,-1643.0538881435991,0.0,0.0,0.0,0.0,0.0,0.0,-11393.0
t41,12463.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12463.0
t42,8534.758079816616,5009.241920183383,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13544.0
t43,8549.001424857492,4875.998575142509,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13425.0
t44,8444.275022215623,4656.724977784377,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13101.0
t45,8545.01522849896,4025.9847715010405,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12571.0
t46,8595.540974286247,3142.4590257137543,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11738.0
t47,8540.914754136078,2163.085245863922,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10704.0
t48,8542.699307222705,1224.3006927772942,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9767.0
t49,8525.30028513986,621.6997148601339,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9147.0
t50,8384.47605315111,451.52394684889015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8836.0
t51,8334.908976773419,352.0910232265826,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8687.0
t52,8349.407676453215,355.59232354678625,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8705.0
t53,8365.780243515019,651.2197564849821,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9017.0
t54,8384.571515791375,1560.4284842086258,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9945.0
t55,8355.857312082953,3227.1426879170476,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11583.0
t56,8275.727030678909,4226.2729693210895,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12502.0
t57,12657.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12657.0
t58,16547.338354681713,0.0,-3803.3383546817186,0.0,0.0,0.0,0.0,0.0,0.0,-12744.0
t59,19261.50236396617,0.0,-6402.5023639661695,0.0,0.0,0.0,0.0,0.0,0.0,-12859.0
t60,20760.01129812984,0.0,-7881.0112981298425,0.0,0.0,0.0,0.0,0.0,0.0,-12879.0
t61,21205.610948870646,0.0,-8378.610948870646,0.0,0.0,0.0,0.0,0.0,0.0,-12827.0
t62,20342.24496164752,0.0,-7534.2449616475205,0.0,0.0,0.0,0.0,0.0,0.0,-12808.0
t63,19200.8354117341,0.0,-6440.835411734101,0.0,0.0,0.0,0.0,0.0,0.0,-12760.0
t64,15672.983734907171,0.0,-2734.9837349071718,0.0,0.0,0.0,0.0,0.0,0.0,-12938.0
t65,13947.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13947.0
t66,9753.572087803695,5296.4279121963045,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15050.0
t67,10101.838113284592,4978.161886715409,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15080.0
t68,10001.511587676325,4824.488412323676,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14826.0
t69,10076.446971876694,4267.553028123306,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14344.0
t70,10061.050043043924,3436.9499569560767,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13498.0
t71,10166.75842763039,2201.2415723696113,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12368.0
t72,10095.317695144415,1282.6823048555873,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11378.0
t73,10284.113268908884,479.88673109111824,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10764.0
t74,10155.259510803178,284.74048919682264,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10440.0
t75,10079.663077470861,196.33692252913914,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10276.0
t76,10116.85264772595,178.1473522740513,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10295.0
t77,10105.006900534392,468.9930994656093,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10574.0
t78,10020.418332051062,1426.581667948939,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11447.0
t79,10011.22529969527,3025.7747003047307,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13037.0
t80,9706.199920969952,4195.800079030044,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13902.0
t81,13919.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13919.0
t82,17849.05744166106,0.0,-3967.057441661061,0.0,0.0,0.0,0.0,0.0,0.0,-13882.0
t83,20901.236208388957,0.0,-7049.236208388957,0.0,0.0,0.0,0.0,0.0,0.0,-13852.0
t84,22371.990495628655,0.0,-8655.99049562866,0.0,0.0,0.0,0.0,0.0,0.0,-13716.0
t85,21976.902278551086,0.0,-8457.90227855109,0.0,0.0,0.0,0.0,0.0,0.0,-13519.0
t86,22432.340057098176,0.0,-9029.340057098172,0.0,0.0,0.0,0.0,0.0,0.0,-13403.0
t87,19076.42428770843,0.0,-5778.424287708429,0.0,0.0,0.0,0.0,0.0,0.0,-13298.0
t88,13673.576304900806,0.0,-237.57630490080095,0.0,0.0,0.0,0.0,0.0,0.0,-13436.0
t89,11410.578320171333,2964.421679828667,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14375.0
t90,9724.448333828366,5414.551666171634,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15139.0
t91,9784.163598943938,5237.836401056065,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-15022.0
t92,9799.239409799296,4872.7605902007035,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14672.0
t93,9825.094636063022,4284.905363936978,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14110.0
t94,9855.555458867912,3326.444541132089,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-13182.0
t95,9833.941914051242,2165.058085948759,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11999.0
t96,9850.443314963035,1052.5566850369669,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10903.0
