Resource,Zone,AnnualSum,Capacity,CapacityFactor
NENGREST_biomass_1,1,0.0,0.0,0.0
NENGREST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NENGREST_hydroelectric_pumped_storage_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,8.581052692556513e6,2669.190987709733,0.3669921821586077
NaturalGas_CTAvgCF_Moderate,1,782723.0570624555,1624.4567104152525,0.05500420330093481
NaturalGas_CCCCSAvgCF_Moderate,1,4.149462979398051e7,6197.459541716196,0.7643180005086201
NaturalGas_CCS100_Moderate,1,-5.47281331364502e-11,0.0,0.0
NENGREST_nuclear_1,1,0.0,0.0,0.0
OffShoreWind_Class3_Moderate_fixed_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,1.0651208539740823e6,595.2420918399777,0.20426838129955996
UtilityPV_Class1_Moderate_100_0.2,1,4.730405311813376e7,19441.020647809586,0.27776350643001435
Liion_Moderate,1,1.2207932854369959e7,9702.958121418385,0.0
TEGS,1,0.0,0.0,0.0
