Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,8.581052692556513e6,782723.0570624555,4.149462979398051e7,-5.47281331364502e-11,0.0,0.0,1.0651208539740823e6,4.730405311813376e7,1.2207932854369959e7,0.0,1.1143551237007727e8
t1,0.0,0.0,0.0,1877.883546746339,0.0,6197.459541716196,0.0,0.0,0.0,228.86073722249014,0.0,929.7961743149743,0.0,9234.0
t2,0.0,0.0,0.0,1877.883546746339,0.0,6197.459541716196,0.0,0.0,0.0,206.0115153548668,0.0,450.6453961825973,0.0,8732.0
t3,0.0,0.0,0.0,1877.883546746339,0.0,6197.459541716196,0.0,0.0,0.0,246.27232853307214,0.0,37.384583004392425,0.0,8359.0
t4,0.0,0.0,0.0,1736.9504727366111,0.0,6197.459541716196,0.0,0.0,0.0,236.5899855471928,0.0,0.0,0.0,8171.0
t5,0.0,0.0,0.0,1762.9089673367062,0.0,6197.459541716196,0.0,0.0,0.0,181.63149094709752,0.0,0.0,0.0,8142.0
t6,0.0,0.0,0.0,1877.883546746339,0.0,6197.459541716196,0.0,0.0,0.0,129.83017468793747,0.0,80.82673684952664,0.0,8286.0
t7,0.0,0.0,0.0,1877.883546746339,0.0,6197.459541716196,0.0,0.0,0.0,113.14099239456003,0.0,405.5159191429042,0.0,8594.0
t8,0.0,0.0,0.0,1201.845469917657,0.0,6197.459541716196,0.0,0.0,0.0,142.08285159827597,0.0,1331.6121367678704,0.0,8873.0
t9,0.0,0.0,0.0,0.0,0.0,2752.9402200200575,0.0,0.0,0.0,89.77735814441796,6503.2824218355245,0.0,0.0,9346.0
t10,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,2.081721715287107,12850.127869096348,0.0,0.0,14383.427672707996
t11,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,1.02903726635229,15656.938483899936,0.0,0.0,17189.185603062648
t12,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,1.3355762292922253,17073.22241766579,0.0,0.0,18605.776075791444
t13,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,3.3619249537438263,16164.695211857343,0.0,0.0,17699.275218707447
t14,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,5.3184535665488735,15960.728771679815,0.0,0.0,17497.265307142723
t15,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,31.819395190868512,14026.334463913216,0.0,0.0,15589.371941000443
t16,0.0,0.0,0.0,0.0,0.0,1531.2180818963598,0.0,0.0,0.0,49.63402551696608,10280.62051512346,0.0,0.0,11861.472622536787
t17,0.0,0.0,0.0,478.93367838954686,0.0,5497.5921885947255,0.0,0.0,0.0,34.93795839157402,2922.231857184533,2159.3043174396203,0.0,11093.0
t18,0.0,0.0,0.0,748.3338724836669,0.0,6197.459541716196,0.0,0.0,0.0,170.67485964348367,0.0,4910.531726156653,0.0,12027.0
t19,0.0,0.0,0.0,748.3338724836669,0.0,6197.459541716196,0.0,0.0,0.0,298.6495879449212,0.0,4711.556997855216,0.0,11956.0
t20,0.0,0.0,0.0,748.3338724836669,0.0,6197.459541716196,0.0,0.0,0.0,290.17557747690057,0.0,4355.031008323236,0.0,11591.0
t21,0.0,0.0,0.0,748.3338724836669,0.0,6197.459541716196,0.0,0.0,0.0,367.76781095025007,0.0,3848.438774849887,0.0,11162.0
t22,0.0,0.0,0.0,748.3338724836669,0.0,6197.459541716196,0.0,0.0,0.0,333.5649104702243,0.0,3285.6416753299127,0.0,10565.0
