region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,9.753209665796633e8,0.0,2.7495675651732594e8,0.0,1.334067228262903e8,1.9873799609516697e9,0.0,2.4762121726693314e7,0.0,3.395826528601643e9,0.0,0.0,0.0,0.0,0.0,3.395826528601643e9,3.3958265286016426e9,4.76837158203125e-7
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,1.909481316123294e8,0.0,5.220779360157094e7,0.0,6.541095358233605e6,5.314155937508293e7,0.0,5.177741398264753e6,0.0,3.080163213454816e8,0.0,0.0,0.0,0.0,0.0,3.080163213454816e8,3.0801632134548163e8,-5.960464477539063e-8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,0.0,0.0,0.0,0.0,-4.5183696784079094e-11,-2.4206344714912125e-10,0.0,-1.6716669428017765e-10,0.0,-3.386884667882255e-10,0.0,0.0,0.0,0.0,0.0,-3.386884667882255e-10,-4.54413838213378e-10,1.157253714251525e-10
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_nuclear_1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,6.382630941163235e8,0.0,1.7995580088100585e8,0.0,0.0,0.0,0.0,0.0,0.0,8.182188949973309e8,0.0,0.0,0.0,0.0,0.0,8.182188949973309e8,8.182188949973294e8,1.5497207641601562e-6
NENGREST,Liion_Moderate,1,1,12,7.303728921568501e7,1.636296348707534e8,2.176865391171215e7,4.87779096910587e7,0.0,0.0,951809.5421808002,0.0,1.5142252212938532e8,4.595878193607753e8,0.0,0.0,0.0,0.0,0.0,4.595878193607753e8,4.5958781936077535e8,-5.960464477539063e-8
NENGREST,TEGS,1,1,13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
