BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,9.79666235036011e7,5.370743976678863e6,-6.345396947872003e6,0.0,0.0,38049.46759204794,0.0,0.0,0.0,-9.703002e7
t1,9234.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,8732.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,8359.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,8171.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8142.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8594.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,8873.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,9346.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,10285.10562805033,0.0,-476.1056280503305,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,14156.577945854828,0.0,-4067.5779458548277,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,14991.085959372167,0.0,-4799.085959372167,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,14470.207331692378,0.0,-4228.207331692378,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,14344.222059923186,0.0,-4194.222059923186,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,13149.392202812185,0.0,-3100.392202812185,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,10108.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,11093.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,9584.733707705922,2442.266292294078,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,9584.733707705922,2371.266292294078,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,9584.733707705922,2006.2662922940783,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,9584.733707705922,1577.266292294078,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,9584.733707705922,980.2662922940781,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,9584.733707705922,240.26629229407808,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,8995.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,8293.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
