region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,1.6051279556960256e9,0.0,6.938907235062021e8,0.0,1.8097264616073844e8,0.0,0.0,0.0,0.0,2.4799913253632874e9,0.0,0.0,0.0,0.0,0.0,2.4799913253632874e9,2.479991325362966e9,0.00032138824462890625
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,2.1367960029961936e7,0.0,6.023929746772557e6,0.0,217651.68214217183,3.242389756624255e6,0.0,486466.66031058936,0.0,4.701840599293111e7,0.0,0.0,0.0,1.568000811712714e7,0.0,4.701840599293111e7,4.7018405992938645e7,-7.53253698348999e-6
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,5.387410870852941e7,0.0,1.472990766745941e7,0.0,697144.4797902718,5.663783011380914e6,0.0,1.0591339294261513e6,0.0,1.0360052249607825e8,0.0,0.0,0.0,2.7576444699490592e7,0.0,1.0360052249607825e8,1.0360052249607675e8,1.5050172805786133e-6
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,2.896446825399525e8,0.0,1.23587405870561e8,0.0,2.3779854172924317e7,1.2739624872460055e8,0.0,9.087290731198529e6,0.0,6.279684858904381e8,0.0,0.0,0.0,5.447300385129626e7,0.0,6.279684858904381e8,6.279684858905333e8,-9.524822235107422e-5
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,4.834997027648411e8,0.0,1.7697693084221753e8,0.0,8.565665697863762e7,4.8765705324450064e8,0.0,3.363900430968411e7,0.0,1.2674293481398811e9,0.0,0.0,0.0,0.0,0.0,1.2674293481398811e9,1.267429348139881e9,2.384185791015625e-7
NENGREST,NENGREST_nuclear_1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,9.373660333053659e7,0.0,3.5294078410336584e7,0.0,0.0,0.0,0.0,0.0,0.0,1.2903068174087057e8,0.0,0.0,0.0,0.0,0.0,1.2903068174087057e8,1.2903068174087317e8,-2.60770320892334e-6
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,9.140127736234926e8,0.0,2.5770235222609985e8,0.0,0.0,0.0,0.0,0.0,0.0,1.1717151258495908e9,0.0,0.0,0.0,0.0,0.0,1.1717151258495908e9,1.1717151258495924e9,-1.6689300537109375e-6
NENGREST,Liion_Moderate,1,1,12,1.5259495352080238e8,3.4186724063639385e8,4.5480695786211945e7,1.0191044796540084e8,0.0,0.0,2.1575640281482143e6,0.0,3.85454910794332e8,1.0294658127312865e9,0.0,0.0,0.0,0.0,0.0,1.0294658127312865e9,1.0294658127312891e9,-2.6226043701171875e-6
NENGREST,TEGS,1,1,13,598.4731215229315,8092.521858832333,149.61828038073287,2023.1304647080833,0.0,0.0,250152.82505600346,0.0,2.11362607451086e7,2.139727731389005e7,0.0,0.0,0.0,0.0,0.0,2.139727731389005e7,2.1397277313890047e7,3.725290298461914e-9
