Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-56.944613968728966
t2,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-21.889103366835762
t3,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-52.53384808040583
t4,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-21.889103366835762
t5,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-52.53384808040583
t6,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-52.53384808040583
t7,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.72715440271834,-23.726922486970402
t8,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-56.944613968728966
t9,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-2.119107744107744
t10,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t11,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t12,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-2.119107744107744
t13,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t14,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-2.119107744107744
t15,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t16,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.728079465777485,-9.73438676523659
t17,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-23.36252823656782
t18,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-47.3485418920562
t19,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-19.72855912169008
t20,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-47.3485418920562
t21,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-47.3485418920562
t22,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-19.72855912169008
t23,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-47.3485418920562
t24,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-19.72855912169008
t25,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-47.3485418920562
t26,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-47.3485418920562
t27,0.0,0.0,-70.95464993375253,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42.98705195528479,-19.72855912169008
