BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0125277008120766e8,1.2750652013192879e7,-1.7013357519196365e7,0.0,0.0,39955.42479584032,0.0,0.0,0.0,-9.703002e7
t1,8471.969375297627,762.030624702373,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,8433.195498634324,298.80450136567504,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,8359.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,8171.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,8142.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,8286.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,8275.599313356253,318.4006866437461,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,7063.506585559378,1809.4934144406213,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,10570.052300487723,0.0,-1224.0523004877232,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,16118.265668767774,0.0,-6309.265668767774,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,18635.91656741535,0.0,-8546.916567415348,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,19907.715427535233,0.0,-9715.715427535233,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,19095.645755575275,0.0,-8853.645755575275,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,18915.88240043547,0.0,-8765.882400435468,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,17224.510364185382,0.0,-7175.510364185381,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,13892.52920472731,0.0,-3784.5292047273115,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,8344.092538136942,2748.9074618630575,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,6815.493374245014,5211.50662575499,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,7032.659471187574,4923.340528812426,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,7018.279540061987,4572.720459938013,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,7149.949305804902,4012.050694195098,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,7091.908859070244,3473.091140929756,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,7068.953301389515,2756.046698610485,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,6996.6346722367,1998.3653277633002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,6794.38584771533,1498.6141522846697,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,6812.683187914657,1055.3168120853431,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,6874.748602486523,789.2513975134773,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,7205.761338474037,411.23866152596304,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,7159.445997958396,625.5540020416037,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,6988.246617967151,1221.753382032849,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,6893.7343110953525,1954.2656889046473,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,6825.861348695033,2546.1386513049697,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,10658.26543978184,0.0,-645.2654397818396,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,14495.58372423593,0.0,-3824.5837242359303,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,18746.969905180435,0.0,-7593.969905180437,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,20245.10864354045,0.0,-8895.10864354045,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,20201.47193155571,0.0,-8869.471931555707,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,19172.763303955075,0.0,-7914.763303955072,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,17319.374249314,0.0,-6096.374249314008,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
