Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,1.5537576171182964e9
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,-1.6090008778739238e-10
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,0.0
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,4.74349401853839e7
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,8.752729691827865e8
NENGREST,NaturalGas_CCS100_Moderate,1,1,1.477446771027975e9
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,1.0457618955621205e8
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.717453876885763e9
NENGREST,Liion_Moderate,1,1,8.149744202820472e8
NENGREST,TEGS,1,1,4.8920193606900465e8
