Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,3438.9418400642794,0.0,0.0,0.0,0.0,5039.0991139968555,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,3438.9418400642794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,3438.9418400642794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,3438.9418400642794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,2966.3677036747686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,2966.3677036747686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,2966.3677036747686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,2966.3677036747686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,3438.9418400642794,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,3438.9418400642794,0.0,0.0,0.0,0.0,3256.787791659094,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t37,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t38,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t39,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t40,3438.9418400642794,0.0,0.0,0.0,0.0,2491.7524835289387,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t41,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t42,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t43,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t51,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t52,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t53,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t54,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t55,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t56,3438.9418400642794,0.0,0.0,0.0,0.0,4606.434026907412,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t57,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t61,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t62,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t63,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t64,3438.9418400642794,0.0,0.0,0.0,0.0,3052.854559679268,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t65,3438.9418400642794,0.0,0.0,0.0,0.0,5198.554378159641,0.0,0.0,0.0,0.0,0.0,0.0,0.0
