Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,1.9815260543509794e-12,0.0,0.0,8.754586051238647e6,812028.9960328564,3.9204436400771745e7,4.959474608767778e-11,0.0,0.0,316244.30236942146,5.2974536464528896e7,1.2955358098043865e7,621802.7151817854,1.156389930281672e8
t1,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,61.57890633108582,0.0,1196.570376264981,0.0,9234.0
t2,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,55.430931321463504,0.0,700.7183512746033,0.0,8732.0
t3,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,66.26379358353006,0.0,316.8854890125367,0.0,8359.0
t4,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,63.65859315010675,0.0,131.49068944596002,0.0,8171.0
t5,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,48.871067635033796,0.0,117.27821496103297,0.0,8142.0
t6,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,34.93303509846919,0.0,275.2162474975976,0.0,8286.0
t7,0.0,0.0,0.0,1979.3157091666408,0.0,5996.5350082372925,0.0,0.0,0.0,30.44252438152307,0.0,587.7067582145437,0.0,8594.0
t8,0.0,0.0,0.0,1266.7620538666501,0.0,5996.5350082372925,0.0,0.0,0.0,38.22982795566077,0.0,1571.4731099403964,0.0,8873.0
t9,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,24.156137898182084,7092.887571601188,0.0,0.0,9346.0
t10,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,0.5601229292047522,14015.155169975595,0.0,0.0,16244.67158340543
t11,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,0.27688012458985245,17076.438816328387,0.0,0.0,19305.671986953606
t12,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,0.35935968973846455,18621.12687692025,0.0,0.0,20850.44252711062
t13,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,0.9045835661073607,17630.23014069615,0.0,0.0,19860.091014762886
t14,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,1.431021144016822,17407.77155213765,0.0,0.0,19638.158863782297
t15,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,8.561553981471915,15297.999831619127,0.0,0.0,17535.51767610123
t16,0.0,0.0,0.0,0.0,0.0,2228.95629050063,0.0,0.0,0.0,13.354885793153276,11212.68933903785,0.0,0.0,13455.000515331634
t17,0.0,0.0,0.0,282.5075839362643,0.0,5996.5350082372925,0.0,0.0,0.0,9.400656894249288,3187.169290321399,0.0,1617.387460610793,11092.999999999998
t18,0.0,0.0,0.0,784.7432887118454,0.0,5996.5350082372925,0.0,0.0,0.0,45.92299807562449,0.0,3784.763079999633,1415.035624975605,12027.0
t19,0.0,0.0,0.0,784.7432887118454,0.0,5996.5350082372925,0.0,0.0,0.0,80.35679350274263,0.0,5094.36490954812,0.0,11956.0
t20,0.0,0.0,0.0,784.7432887118454,0.0,5996.5350082372925,0.0,0.0,0.0,78.07671565631244,0.0,4731.64498739455,0.0,11591.0
