Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t2,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t3,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t4,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t5,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t6,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t7,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t8,4605.892914353802,0.0,0.0,0.0,0.0,748.0363623121807,2734.6213554960227,0.0,0.0,0.0,0.0,0.0,0.0
t9,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t10,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t11,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t12,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t13,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t14,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t15,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t16,4605.892914353802,0.0,0.0,0.0,0.0,0.0,178.8716648480736,0.0,0.0,0.0,0.0,0.0,0.0
t17,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207247,0.0,0.0,0.0,0.0,0.0,0.0
t18,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207247,0.0,0.0,0.0,0.0,0.0,0.0
t19,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207247,0.0,0.0,0.0,0.0,0.0,0.0
t20,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207247,0.0,0.0,0.0,0.0,0.0,0.0
t21,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207247,0.0,0.0,0.0,0.0,0.0,0.0
t22,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207247,0.0,0.0,0.0,0.0,0.0,0.0
t23,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207263,0.0,0.0,0.0,0.0,0.0,0.0
t24,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207263,0.0,0.0,0.0,0.0,0.0,0.0
t25,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207263,0.0,0.0,0.0,0.0,0.0,0.0
t26,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207263,0.0,0.0,0.0,0.0,0.0,0.0
t27,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207263,0.0,0.0,0.0,0.0,0.0,0.0
t28,4605.892914353802,0.0,0.0,0.0,0.0,0.0,1913.7494796207263,0.0,0.0,0.0,0.0,0.0,0.0
