region,Resource,zone,Cluster,R_ID,Inv_cost_MW,Inv_cost_MWh,Fixed_OM_cost_MW,Fixed_OM_cost_MWh,Var_OM_cost_out,Fuel_cost,Var_OM_cost_in,StartCost,Charge_cost,EnergyRevenue,SubsidyRevenue,ReserveMarginRevenue,ESRRevenue,EmissionsCost,RegSubsidyRevenue,Revenue,Cost,Profit
NENGREST,NENGREST_biomass_1,1,1,1,1.4276679585275257e9,0.0,6.171754402219712e8,0.0,1.681116012662073e8,0.0,0.0,0.0,0.0,2.2129550000159907e9,0.0,0.0,0.0,0.0,0.0,2.2129550000159907e9,2.212955000015704e9,0.0002865791320800781
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,4,2.1680774557697706e7,0.0,6.112116580527762e6,0.0,220302.94765187934,3.281886056612193e6,0.0,449899.5826440058,0.0,4.742405607348669e7,0.0,0.0,0.0,1.5679076348343141e7,0.0,4.742405607348669e7,4.742405607347669e7,1.0006129741668701e-5
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,5,4.066860874334937e7,0.0,1.1119345936552398e7,0.0,517467.3829476016,4.204039560585882e6,0.0,686887.9952071228,0.0,7.739210092058876e7,0.0,0.0,0.0,2.019575130194646e7,0.0,7.739210092058876e7,7.739210092058884e7,-7.450580596923828e-8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,6,3.202250610754787e8,0.0,1.366356331696213e8,0.0,2.682521414669878e7,1.43711211543702e8,0.0,1.1418595357004844e7,0.0,6.995778868650028e8,0.0,0.0,0.0,6.076217157248023e7,0.0,6.995778868650028e8,6.995778868649858e8,1.6927719116210938e-5
NENGREST,NaturalGas_CCS100_Moderate,1,1,7,5.096027815495808e8,0.0,1.8653152362156966e8,0.0,8.957085876846552e7,5.099412303062775e8,0.0,3.472191657988652e7,0.0,1.3303683108257804e9,0.0,0.0,0.0,0.0,0.0,1.3303683108257804e9,1.33036831082578e9,4.76837158203125e-7
NENGREST,NENGREST_nuclear_1,1,1,8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,10,8.548156678100237e7,0.0,3.2185859241864312e7,0.0,0.0,0.0,0.0,0.0,0.0,1.1766742602286682e8,0.0,0.0,0.0,0.0,0.0,1.1766742602286682e8,1.1766742602286668e8,1.341104507446289e-7
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,11,1.0177019856248093e9,0.0,2.869371229036234e8,0.0,0.0,0.0,0.0,0.0,0.0,1.3046391085284328e9,0.0,0.0,0.0,0.0,0.0,1.3046391085284328e9,1.3046391085284326e9,2.384185791015625e-7
NENGREST,Liion_Moderate,1,1,12,1.557691337478044e8,3.489785389490202e8,4.642675541625868e7,1.0403032232161666e8,0.0,0.0,2.2450526174684786e6,0.0,4.042607446894743e8,1.061710547741639e9,0.0,0.0,0.0,0.0,0.0,1.061710547741639e9,1.0617105477416427e9,-3.6954879760742188e-6
NENGREST,TEGS,1,1,13,424.04696298827935,21592.12996034635,106.01174074706984,5398.032490086587,0.0,0.0,866097.1198477598,0.0,8.51352637602349e7,8.602888110123682e7,0.0,0.0,0.0,0.0,0.0,8.602888110123682e7,8.602888110123684e7,-1.4901161193847656e-8
