Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,3.5845023455163546e7,0.0,0.0,125749.28288277308,104859.80494583062,4.284029567732959e6,1.4649943817717077e7,0.0,0.0,1.8961280045371833e6,4.593077643550025e7,1.2474361938118251e7,938145.9668012,1.1624901827339906e8
t1,4331.790914433213,0.0,0.0,0.0,0.0,812.3933763508809,2795.9466079137533,0.0,0.0,369.6457257820848,0.0,924.2233755200677,0.0,9234.0
t2,4331.790914433213,0.0,0.0,0.0,0.0,812.3933763508809,2795.9466079137533,0.0,0.0,332.74067468709836,0.0,459.1284266150542,0.0,8732.0
t3,4331.790914433213,0.0,0.0,0.0,0.0,812.3933763508809,2795.9466079137533,0.0,0.0,397.7681568512642,0.0,21.10094445088822,0.0,8359.0
t4,4331.790914433213,0.0,0.0,0.0,0.0,661.1328123303022,2795.9466079137533,0.0,0.0,382.1296653227311,0.0,0.0,0.0,8171.0
t5,4331.790914433213,0.0,0.0,0.0,0.0,720.899338519494,2795.9466079137533,0.0,0.0,293.36313913353933,0.0,0.0,0.0,8141.999999999999
t6,4331.790914433213,0.0,0.0,0.0,0.0,812.3933763508809,2795.9466079137533,0.0,0.0,209.69594755901016,0.0,136.17315374314228,0.0,8286.0
t7,4331.790914433213,0.0,0.0,0.0,0.0,812.3933763508809,2795.9466079137533,0.0,0.0,182.74031953643643,0.0,471.128781765716,0.0,8594.0
t8,4331.790914433213,0.0,0.0,0.0,0.0,519.9317608645638,1789.405829064802,0.0,0.0,229.48592859404357,0.0,2002.385567043377,0.0,8873.0
t9,4331.790914433213,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,145.00441234627928,6150.5363698814635,0.0,0.0,10627.331696660956
