Resource,NENGREST_biomass_1,NENGREST_conventional_hydroelectric_1,NENGREST_hydroelectric_pumped_storage_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,NENGREST_nuclear_1,OffShoreWind_Class3_Moderate_fixed_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-28.094071636229245
t2,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-48.16126566210728
t3,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-17.8863119732264
t4,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-30.662249096959552
t5,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-52.56385559478781
t6,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-25.944108519419967
t7,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51.69309181066181,-44.475614604719944
t8,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-4.639297091444063
t9,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-7.953080728189824
t10,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-7.953080728189824
t11,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-7.953080728189824
t12,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-7.953080728189824
t13,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-7.953080728189824
t14,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-4.639297091444063
t15,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8.558206435769483,-7.953080728189824
t16,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-14.671211032747687,-13.633852676896844
t17,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-23.372318874680303
t18,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-40.06683235659481
t19,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-13.633852676896842
t20,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-23.372318874680303
t21,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-13.633852676896842
t22,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-23.372318874680303
t23,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-27.63152055938756
t24,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-47.36832095895011
t25,0.0,0.0,-134.15389810556758,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.00506672941176,-13.633852676896842
