BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,1.0417856443800287e8,1.4732020327693025e7,-2.1901377665570322e7,0.0,0.0,20812.89987476787,0.0,0.0,0.0,-9.703002e7
t1,7672.98860443742,1561.01139556258,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9234.0
t2,7651.04212783156,1080.9578721684404,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8732.0
t3,7689.712284726327,669.2877152736728,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8359.0
t4,7680.412479461262,490.5875205387383,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8171.0
t5,7627.625328851969,514.3746711480308,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8142.0
t6,7577.870620266362,708.1293797336384,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8286.0
t7,7561.840807483526,1032.159192516474,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8594.0
t8,7241.042443461069,1631.9575565389314,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8873.0
t9,10208.139080662097,0.0,-862.1390806620957,0.0,0.0,0.0,0.0,0.0,0.0,-9346.0
t10,17723.946853109916,0.0,-7914.9468531099155,0.0,0.0,0.0,0.0,0.0,0.0,-9809.0
t11,21083.95492359775,0.0,-10994.95492359775,0.0,0.0,0.0,0.0,0.0,0.0,-10089.0
t12,22780.18046244314,0.0,-12588.180462443139,0.0,0.0,0.0,0.0,0.0,0.0,-10192.0
t13,21694.2096219232,0.0,-11452.2096219232,0.0,0.0,0.0,0.0,0.0,0.0,-10242.0
t14,21451.84896095437,0.0,-11301.848960954367,0.0,0.0,0.0,0.0,0.0,0.0,-10150.0
t15,19160.95980372229,0.0,-9111.95980372229,0.0,0.0,0.0,0.0,0.0,0.0,-10049.0
t16,14692.760368409297,0.0,-4584.7603684092865,0.0,0.0,0.0,0.0,0.0,0.0,-10108.0
t17,5867.33248048612,5225.66751951388,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11093.0
t18,6648.777233104981,5378.222766895019,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12027.0
t19,6771.695833881549,5184.304166118449,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11956.0
t20,6763.556621370454,4827.443378629546,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11591.0
t21,6838.083279065005,4323.916720934995,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-11162.0
t22,6805.231694027032,3759.768305972969,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10565.0
t23,6792.238574613428,3032.761425386572,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9825.0
t24,6751.3053680462235,2243.694631953776,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8995.0
t25,6636.830121362352,1656.1698786376483,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8293.0
t26,6647.18663412792,1220.8133658720799,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7868.0
t27,6682.316398963217,981.6836010367833,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7664.0
t28,6869.673555165969,747.3264448340306,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7617.0
t29,6843.458520080738,941.5414799192622,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-7785.0
t30,6746.5576292943315,1463.4423707056692,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8210.0
t31,6693.062536457993,2154.937463542007,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-8848.0
t32,6666.471695231798,2705.528304768203,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-9372.0
t33,10013.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10013.0
t34,14987.31854103586,0.0,-4316.318541035861,0.0,0.0,0.0,0.0,0.0,0.0,-10671.0
t35,20481.686130361377,0.0,-9328.686130361377,0.0,0.0,0.0,0.0,0.0,0.0,-11153.0
t36,22401.101652316665,0.0,-11051.101652316665,0.0,0.0,0.0,0.0,0.0,0.0,-11350.0
t37,22319.63101324728,0.0,-10987.631013247279,0.0,0.0,0.0,0.0,0.0,0.0,-11332.0
t38,20926.266347419325,0.0,-9668.266347419325,0.0,0.0,0.0,0.0,0.0,0.0,-11258.0
t39,18434.882493612993,0.0,-7211.882493612988,0.0,0.0,0.0,0.0,0.0,0.0,-11223.0
