Region,Resource,Zone,Cluster,AnnualSum
NENGREST,NENGREST_biomass_1,1,1,0.0
NENGREST,NENGREST_conventional_hydroelectric_1,1,1,0.0
NENGREST,NENGREST_hydroelectric_pumped_storage_1,1,1,0.0
NENGREST,NaturalGas_CCAvgCF_Moderate,1,1,2.619272399396525e8
NENGREST,NaturalGas_CTAvgCF_Moderate,1,1,1.7299179140858412e8
NENGREST,NaturalGas_CCCCSAvgCF_Moderate,1,1,3.604045890864638e9
NENGREST,NaturalGas_CCS100_Moderate,1,1,1.3629315850281769e-8
NENGREST,NENGREST_nuclear_1,1,1,0.0
NENGREST,OffShoreWind_Class3_Moderate_fixed_1,1,1,0.0
NENGREST,LandbasedWind_Class3_Moderate_130,1,1,6.794582382038492e7
NENGREST,UtilityPV_Class1_Moderate_100_0.2,1,1,1.4214855617746494e9
NENGREST,Liion_Moderate,1,1,1.0909292520096765e9
NENGREST,TEGS,1,1,2.4797223378410857e7
