Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t2,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t3,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t4,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t5,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t6,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t7,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t8,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t9,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,0.0,0.0,0.0,0.0
t10,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,10094.94082953909,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,6526.3939516716855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,6526.3939516716855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,6526.3939516716855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,6526.3939516716855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
