Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.639915052768221e8,0.0,0.0,1.0728979276598326e6,2.7011001522039536e7,4.939811734157534e7,0.0,3.534581388312323e7,1.6601456236332047e8,4.155453774816895e7,0.0,5.843884360627095e8
t1,32448.83460972463,0.0,0.0,0.0,0.0,5830.062611389865,0.0,6843.102778885507,0.0,0.0,0.0,45122.0
t2,32448.83460972463,0.0,0.0,0.0,0.0,5999.628652575051,0.0,5503.536737700322,0.0,0.0,0.0,43952.0
t3,32448.83460972463,0.0,0.0,0.0,0.0,6299.789959426056,0.0,4211.375430849315,0.0,0.0,0.0,42960.0
t4,32448.83460972463,0.0,0.0,0.0,0.0,5616.120902342682,0.0,4063.044487932691,0.0,0.0,0.0,42128.0
t5,32448.83460972463,0.0,0.0,0.0,0.0,6977.625364146999,0.0,3688.3941681948254,0.0,0.0,0.0,43114.854142066455
t6,32448.83460972463,0.0,0.0,0.0,0.0,7116.119744378197,0.0,2072.045645897176,0.0,0.0,0.0,41637.0
t7,32448.83460972463,0.0,0.0,0.0,0.0,8174.178653815365,0.0,1675.9867364600036,0.0,0.0,0.0,42299.0
t8,32448.83460972463,0.0,0.0,0.0,0.0,9698.564985150766,0.0,1977.236177228818,0.0,0.0,0.0,44124.635772104215
t9,32448.83460972463,0.0,0.0,0.0,0.0,6207.08159049649,0.0,4526.387536424827,0.0,1497.6962633540543,0.0,44680.0
t10,25699.25709554659,0.0,0.0,0.0,0.0,0.0,0.0,4746.590173331981,15531.152731121429,0.0,0.0,45977.0
t11,4542.723373292591,0.0,0.0,0.0,0.0,0.0,0.0,4939.26748062574,37675.00914608167,0.0,0.0,47157.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,8647.54105354135,51648.69614114107,0.0,0.0,60296.23719468241
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9649.157214473196,59566.53870994821,0.0,0.0,69215.69592442141
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6694.771835968881,64047.515548338844,0.0,0.0,70742.28738430773
t15,6526.3939516716855,0.0,0.0,0.0,0.0,0.0,0.0,4494.274651875867,64378.15073253078,0.0,0.0,75398.81933607833
t16,2936.8772782522587,0.0,0.0,0.0,0.0,0.0,0.0,4780.2322428594625,61385.03222300374,0.0,0.0,69102.14174411546
t17,2936.8772782522587,0.0,0.0,0.0,0.0,0.0,0.0,4252.663425269407,53354.07761749949,0.0,0.0,60543.61832102115
t18,2936.8772782522587,0.0,0.0,0.0,0.0,0.0,0.0,6150.381983615086,42190.7896880716,0.0,0.0,51278.048949938944
t19,32448.83460972463,0.0,0.0,0.0,0.0,0.0,0.0,6020.401260440724,22256.96845165749,0.0,0.0,60726.204321822835
t20,32448.83460972463,0.0,0.0,0.0,0.0,3202.4287460497435,0.0,4590.613305522747,0.0,12614.12333870288,0.0,52856.0
t21,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,3931.5345797798077,0.0,12205.83589479284,0.0,53590.0
t22,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,5313.917800363606,0.0,10734.45267420904,0.0,53501.0
t23,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,5344.501499934008,0.0,10238.868974638637,0.0,53036.0
t24,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,5330.738835127348,0.0,8713.631639445299,0.0,51497.0
t25,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,5014.197544573314,0.0,7031.172929999332,0.0,49498.0
t26,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,5965.350601213936,0.0,4483.01987335871,0.0,47901.0
t27,32448.83460972463,0.0,0.0,0.0,0.0,5003.794915702724,0.0,7191.756953988501,0.0,2689.6135205841456,0.0,47334.0
