Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.7858107011377,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.7858107011377,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1219.7858107011377,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1627.9307210370155,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11744.938219107828,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31752.818469575526,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53410.80286313859,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79948.03665233066,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,101423.72705691688,0.0
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,115365.05591225634,0.0
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,120496.86094620018,0.0
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,118009.12529325232,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,104741.91236412968,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,93074.02902259812,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81944.8236153822,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,72473.48487685471,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,64830.905605116306,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,59958.05791668293,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,57034.564959526244,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,53257.666306353414,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,49788.36494977286,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43336.52915581408,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33822.65244143932,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19783.29749652058,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2824.6514833123683,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10031.944948477798,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30134.611648443948,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,55016.13086631444,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82249.24860817556,0.0
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,112544.87826029932,0.0
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131341.63200664785,0.0
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131341.63200664785,0.0
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,131720.1289222772,0.0
