Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.88157693074029
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.89153253234652
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.90149228418134
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.91145618797487
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.921424245457953
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.93139645836215
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.941372828419755
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.814086956521734,-23.951353357363768
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.08162091441597
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.083739308585858
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.083739308585857
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858585
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.083739308585858
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602295
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.090099791185282
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.0922217199759965
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.09434453334304
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.685922577030812
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.685922577030812
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.695796615480482
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.70567477015721
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.715557042776936
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.725443435056324
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.676056765890266
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.676052653092963
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.685922577030812
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.695796615480482
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.70567477015721
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.685922577030812
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.695796615480482
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.582097541736694,-23.70567477015721
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.083739308585858
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.08162091441597
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.083739308585858
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602295
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858585
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602294
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.090099791185281
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.584705476261668
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.609376789538754
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.621720160329563
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.634068676747166
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.646422340936635
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.609376789538754
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.621720160329563
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.634068676747166
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.646422340936635
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.59703856223055
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54.45855095450422,-29.609376789538754
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-29.621720160329563
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.4728260869565215,-5.085858585858586
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.079503402980932
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.08162091441597
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.083739308585858
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602295
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.085858585858586
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-5.472826086956521,-5.087978746602295
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.551390959809645
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.56412703154369
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.576868412611226
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.56412703154369
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.576868412611226
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.589615105225576
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.60236711160098
t75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56.237993738040394,-30.61512443395261
