Region,Resource,Zone,Cluster,AnnualSum
ERC_REST,ERC_REST_biomass_1,1,1,1.0723033674014477e10
ERC_REST,ERC_REST_conventional_hydroelectric_1,1,1,0.0
ERC_REST,NaturalGas_CCAvgCF_Moderate,1,1,6.1017196425768255e-6
ERC_REST,NaturalGas_CTAvgCF_Moderate,1,1,1.5709903933112378e9
ERC_REST,NaturalGas_CCCCSAvgCF_Moderate,1,1,1.2403724400881638e10
ERC_REST,NaturalGas_CCS100_Moderate,1,1,1.0086199228820017e-9
ERC_REST,ERC_nuclear_1,1,1,0.0
ERC_REST,LandbasedWind_Class3_Moderate_130,1,1,3.333596520730054e9
ERC_REST,UtilityPV_Class1_Moderate_100_0.2,1,1,5.974684927046e9
ERC_REST,Liion_Moderate,1,1,3.1020117144724956e9
ERC_REST,TEGS,1,1,0.0
