Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,0.0,0.0,0.0
ERC_REST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,4.052667935483582e7,10773.508239085904,0.4294175264933926
NaturalGas_CTAvgCF_Moderate,1,1.318825733429554e7,14308.668595283138,0.1052165558305139
NaturalGas_CCCCSAvgCF_Moderate,1,2.383515439490834e8,33153.94228588615,0.8206891393144364
NaturalGas_CCS100_Moderate,1,3.145469236187637e-11,0.0,0.0
ERC_nuclear_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,7.796878636811483e7,34150.70109951952,0.26062558315030987
UtilityPV_Class1_Moderate_100_0.2,1,1.7155219568280074e8,89948.84786948307,0.21771911976539055
Liion_Moderate,1,3.449598995462457e7,26497.657625508808,0.0
TEGS,1,0.0,0.0,0.0
