BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.415874626891184e8,3.449598995462457e7,-4.0756131798942074e7,0.0,0.0,126250.155199718,0.0,0.0,0.0,-5.35453571e8
t1,48674.628280033765,0.0,-3552.628280033765,0.0,0.0,0.0,0.0,0.0,0.0,-45122.0
t2,45683.02686371585,0.0,-1731.0268637158515,0.0,0.0,0.0,0.0,0.0,0.0,-43952.0
t3,42960.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42960.0
t4,42466.03082014112,0.0,-338.03082014111715,0.0,0.0,0.0,0.0,0.0,0.0,-42128.0
t5,41789.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41789.0
t6,38290.43760989802,3346.562390101979,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41637.0
t7,37405.93445142047,4893.065548579529,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42299.0
t8,38078.703263081,5602.296736919001,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43681.0
t9,43588.3580193612,1091.641980638892,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44680.0
t10,45977.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45977.0
t11,47157.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47157.0
t12,61001.26238522167,0.0,-13471.262385221671,0.0,0.0,0.0,0.0,0.0,0.0,-47530.0
t13,61578.98125144811,0.0,-14110.98125144811,0.0,0.0,0.0,0.0,0.0,0.0,-47468.0
t14,66211.34691672648,0.0,-19010.346916726485,0.0,0.0,0.0,0.0,0.0,0.0,-47201.0
t15,66553.15253863053,0.0,-19999.15253863053,0.0,0.0,0.0,0.0,0.0,0.0,-46554.0
t16,63458.91217192031,0.0,-17699.91217192031,0.0,0.0,0.0,0.0,0.0,0.0,-45759.0
t17,64653.94348934339,0.0,-19263.943489343394,0.0,0.0,0.0,0.0,0.0,0.0,-45390.0
t18,57351.60831413909,0.0,-11651.608314139092,0.0,0.0,0.0,0.0,0.0,0.0,-45700.0
t19,48527.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48527.0
t20,42080.013860608546,10775.986139391456,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52856.0
t21,40608.11864321924,12981.881356780761,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53590.0
t22,43695.342022615805,9805.657977384195,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53501.0
t23,43763.64342481484,9272.356575185157,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53036.0
t24,43732.90779382528,7764.092206174719,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51497.0
t25,43025.988281065234,6472.011718934768,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49498.0
t26,45150.16188945534,2750.8381105446606,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47901.0
t27,47889.04811763667,0.0,-555.0481176366648,0.0,0.0,0.0,0.0,0.0,0.0,-47334.0
t28,46352.266568158426,1078.7334318415724,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47431.0
t29,48281.78118028128,0.0,-269.7811802812794,0.0,0.0,0.0,0.0,0.0,0.0,-48012.0
t30,45481.423690120675,4020.576309879325,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49502.0
t31,45764.874509246714,6681.125490753289,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52446.0
t32,45303.840044403194,11099.159955596804,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56403.0
t33,44163.20662767924,14414.793372320763,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58578.0
t34,57879.697065157336,1092.3029348426608,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58972.0
t35,58908.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58908.0
t36,65856.6128901803,0.0,-7411.612890180312,0.0,0.0,0.0,0.0,0.0,0.0,-58445.0
t37,76246.39521844074,0.0,-19249.395218440743,0.0,0.0,0.0,0.0,0.0,0.0,-56997.0
t38,79618.33869784795,0.0,-24268.338697847958,0.0,0.0,0.0,0.0,0.0,0.0,-55350.0
t39,80057.65762550881,0.0,-26497.657625508808,0.0,0.0,0.0,0.0,0.0,0.0,-53560.0
t40,74530.48120980778,0.0,-22437.48120980778,0.0,0.0,0.0,0.0,0.0,0.0,-52093.0
t41,66135.90235795366,0.0,-14741.902357953657,0.0,0.0,0.0,0.0,0.0,0.0,-51394.0
t42,52462.81906769034,0.0,-600.8190676903369,0.0,0.0,0.0,0.0,0.0,0.0,-51862.0
t43,55485.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55485.0
t44,50977.49186289496,9568.508137105067,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60546.0
t45,52234.77607640283,9341.223923597167,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61576.0
t46,52443.095353109915,9394.904646890087,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61838.0
t47,51968.40060782623,8980.59939217377,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60949.0
t48,51783.986821889186,6671.013178110808,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58455.0
t49,51869.36357463799,3866.636425362014,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55736.0
t50,52477.246054209434,1758.7539457905677,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54236.0
t51,52671.90505047669,1258.0949495232983,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53930.0
t52,52945.11065927285,1406.889340727148,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54352.0
t53,53979.876902588294,1514.123097411704,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55494.0
t54,55130.7555296421,2956.2444703578917,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58087.0
t55,55984.52305713009,7113.476942869909,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63098.0
t56,54222.34688039488,15993.653119605126,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-70216.0
t57,54447.741507651706,17687.258492348297,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-72135.0
t58,69715.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-69715.0
t59,66406.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-66406.0
t60,66741.63896160522,0.0,-3369.638961605211,0.0,0.0,0.0,0.0,0.0,0.0,-63372.0
t61,76565.5833760922,0.0,-15933.583376092196,0.0,0.0,0.0,0.0,0.0,0.0,-60632.0
t62,80561.8688775053,0.0,-22260.86887750531,0.0,0.0,0.0,0.0,0.0,0.0,-58301.0
t63,81504.29763170994,0.0,-25021.297631709942,0.0,0.0,0.0,0.0,0.0,0.0,-56483.0
t64,79228.61036690963,0.0,-24364.61036690964,0.0,0.0,0.0,0.0,0.0,0.0,-54864.0
t65,72859.89590821677,0.0,-18795.895908216768,0.0,0.0,0.0,0.0,0.0,0.0,-54064.0
t66,59899.311945390495,0.0,-5461.311945390488,0.0,0.0,0.0,0.0,0.0,0.0,-54438.0
t67,57865.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57865.0
t68,43405.93182342299,19442.06817657701,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62848.0
t69,45127.7388349312,18515.26116506873,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63643.0
t70,47463.64679013836,15995.353209861638,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63459.0
t71,51233.88419152537,10469.115808474624,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-61703.0
t72,51404.63769702292,6788.362302977084,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58193.0
t73,50704.54832448277,3790.45167551723,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54495.0
t74,52207.17917286162,75.82082713837735,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52283.0
t75,55434.42042676622,0.0,-4039.4204267662208,0.0,0.0,0.0,0.0,0.0,0.0,-51395.0
t76,55690.55068501261,0.0,-4565.550685012615,0.0,0.0,0.0,0.0,0.0,0.0,-51125.0
t77,55154.38467775016,0.0,-3735.3846777501603,0.0,0.0,0.0,0.0,0.0,0.0,-51419.0
t78,51691.50358625888,1410.4964137411207,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53102.0
t79,50567.945520084686,6845.054479915291,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57413.0
t80,50619.17157173397,13402.828428266033,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-64022.0
t81,54819.70780697487,10799.292193025132,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-65619.0
t82,62834.847478432515,422.1525215674865,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-63257.0
t83,60737.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60737.0
t84,62653.621971534194,0.0,-4244.621971534194,0.0,0.0,0.0,0.0,0.0,0.0,-58409.0
t85,73388.23283433821,0.0,-16880.23283433821,0.0,0.0,0.0,0.0,0.0,0.0,-56508.0
t86,80427.58816367577,0.0,-25507.58816367577,0.0,0.0,0.0,0.0,0.0,0.0,-54920.0
t87,77564.6583914475,0.0,-23735.65839144749,0.0,0.0,0.0,0.0,0.0,0.0,-53829.0
t88,74387.44862254211,0.0,-21477.448622542106,0.0,0.0,0.0,0.0,0.0,0.0,-52910.0
t89,70688.92744743475,0.0,-18574.927447434748,0.0,0.0,0.0,0.0,0.0,0.0,-52114.0
t90,57034.72963645705,0.0,-4786.729636457059,0.0,0.0,0.0,0.0,0.0,0.0,-52248.0
t91,54554.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54554.0
t92,48002.65224313403,10399.347756865975,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58402.0
t93,49789.7927495852,8799.207250414802,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58589.0
t94,51531.4785056607,6548.521494339309,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-58080.0
t95,50213.26144321922,6162.738556780776,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56376.0
t96,50571.8438047642,2649.1561952358024,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53221.0
t97,47949.069960321096,1841.9300396788967,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49791.0
t98,47781.73152493346,52.26847506654303,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47834.0
t99,47109.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47109.0
t100,45992.23478731863,973.76521268137,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-46966.0
t101,44779.88489828569,2760.115101714313,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47540.0
t102,44592.05604223829,4664.943957761709,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49257.0
t103,44298.360012782425,9328.639987217575,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53627.0
t104,44271.03945190281,16089.960548097188,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60361.0
t105,44083.21059585545,18220.789404144547,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-62304.0
t106,51170.00391812639,9019.996081873607,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-60190.0
t107,68813.91494615111,0.0,-10675.914946151119,0.0,0.0,0.0,0.0,0.0,0.0,-58138.0
t108,65113.09991649924,0.0,-8500.099916499224,0.0,0.0,0.0,0.0,0.0,0.0,-56613.0
t109,65736.53327019668,0.0,-10575.533270196684,0.0,0.0,0.0,0.0,0.0,0.0,-55161.0
t110,71389.98631205308,0.0,-17449.986312053086,0.0,0.0,0.0,0.0,0.0,0.0,-53940.0
t111,79700.65762550881,0.0,-26497.657625508808,0.0,0.0,0.0,0.0,0.0,0.0,-53203.0
t112,67450.35737151185,0.0,-15010.357371511862,0.0,0.0,0.0,0.0,0.0,0.0,-52440.0
t113,78454.65762550881,0.0,-26497.657625508808,0.0,0.0,0.0,0.0,0.0,0.0,-51957.0
t114,51937.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51937.0
t115,53300.81771146042,464.18228853958135,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53765.0
t116,41548.982089507495,15692.017910492505,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57241.0
t117,42296.88244358697,15016.117556413032,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-57313.0
t118,39667.27845892397,16996.721541076033,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56664.0
t119,42921.84027370818,11686.159726291822,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54608.0
t120,44970.88233967935,6285.117660320648,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51256.0
t121,44701.09180099315,3187.9081990068516,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47889.0
t122,45151.881055506805,615.1189444931952,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45767.0
t123,44849.619243081586,0.0,-244.61924308158632,0.0,0.0,0.0,0.0,0.0,0.0,-44605.0
t124,44798.39319143231,0.0,-665.3931914323093,0.0,0.0,0.0,0.0,0.0,0.0,-44133.0
t125,45389.200320453994,0.0,-1064.200320453996,0.0,0.0,0.0,0.0,0.0,0.0,-44325.0
t126,45437.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45437.0
t127,47149.697069828704,1846.3029301712959,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48996.0
t128,44390.32042098752,10494.679579012482,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54885.0
t129,43458.006280970636,13435.993719029364,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-56894.0
t130,51906.96631716965,3462.0336828304285,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-55369.0
t131,54522.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54522.0
t132,54944.34262621494,0.0,-1029.342626214937,0.0,0.0,0.0,0.0,0.0,0.0,-53915.0
t133,66674.43737895058,0.0,-13526.43737895058,0.0,0.0,0.0,0.0,0.0,0.0,-53148.0
t134,72384.32296198986,0.0,-19821.322961989852,0.0,0.0,0.0,0.0,0.0,0.0,-52563.0
t135,78897.65762550881,0.0,-26497.657625508808,0.0,0.0,0.0,0.0,0.0,0.0,-52400.0
t136,78631.65762550881,0.0,-26497.657625508808,0.0,0.0,0.0,0.0,0.0,0.0,-52134.0
t137,72679.24986958811,0.0,-20935.249869588104,0.0,0.0,0.0,0.0,0.0,0.0,-51744.0
t138,58216.5389796685,0.0,-6899.538979668494,0.0,0.0,0.0,0.0,0.0,0.0,-51317.0
t139,52064.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52064.0
t140,40888.335089528824,13567.664910471176,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-54456.0
t141,41298.14350272299,12409.856497277015,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53708.0
t142,41141.05027766527,11275.949722334732,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52417.0
t143,40236.0566985281,10573.943301471902,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-50810.0
t144,40382.904713255935,8324.095286744065,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48707.0
t145,40403.39513391565,5435.604866084352,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45839.0
t146,41011.277613487095,2667.7223865129054,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43679.0
t147,40297.527960507134,1939.4720394928645,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42237.0
t148,40567.31849919334,751.6815008066587,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41319.0
t149,39269.5918574116,1868.4081425883996,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41138.0
t150,39020.2917393851,2523.708260614898,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41544.0
