Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,0.0,0.0,0.0
ERC_REST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,3.749183575099708e8,50180.278707538935,0.8529027809624163
NaturalGas_CTAvgCF_Moderate,1,2.468883746735497e7,18361.589702361263,0.15349218053360827
NaturalGas_CCCCSAvgCF_Moderate,1,0.0,0.0,0.0
NaturalGas_CCS100_Moderate,1,0.0,0.0,0.0
ERC_nuclear_1,1,1.35213900010116e-10,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,4.546076343070004e6,1991.804030163612,0.26054696084192497
UtilityPV_Class1_Moderate_100_0.2,1,1.3541235601685908e8,71087.85484532182,0.21744968310562457
Liion_Moderate,1,2.1809419799193937e7,20753.170798723026,0.0
TEGS,1,283321.26013366977,1880.0204594202291,0.0
