Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.5767272919652525e7,579110.1990278906,2.6346383118680418e7
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10400.356786415843,0.0,10400.356786415843
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16931.351577340127,0.0,16931.351577340127
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9279.063878738136,80.79412761412014,9359.858006352257
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19896.48949086619,1880.0204594202291,21776.50995028642
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18246.067284187124,1880.0204594202291,20126.087743607353
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12053.658281963919,1880.0204594202291,13933.678741384148
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3424.1900862409348,1880.0204594202291,5304.210545661164
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6117.860648636059,0.0,6117.860648636059
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14937.67119609593,0.0,14937.67119609593
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19603.30753973784,80.79412761412014,19684.101667351963
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15216.470415738988,1880.0204594202291,17096.490875159216
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18999.5334174174,1880.0204594202291,20879.55387683763
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13215.321055524044,1880.0204594202291,15095.341514944274
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2141.0131126020356,1880.0204594202291,4021.0335720222647
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,321.4723680394309,0.0,321.4723680394309
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,638.8256510113696,0.0,638.8256510113696
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,232.7600832526732,0.0,232.7600832526732
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t59,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t60,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2066.0289274014935,0.0,2066.0289274014935
t61,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13863.655363456783,0.0,13863.655363456783
t62,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19469.20798454185,80.79412761412014,19550.00211215597
t63,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19857.638497931417,1880.0204594202291,21737.658957351647
t64,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18881.931796077173,1880.0204594202291,20761.952255497403
t65,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13696.583687968472,1880.0204594202291,15576.604147388702
t66,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2396.1311283751056,1880.0204594202291,4276.151587795335
t67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t70,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t71,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t72,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t74,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.857868692051852,0.0,11.857868692051852
