Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,0.0,0.0,3.749183575099708e8,2.468883746735497e7,0.0,0.0,1.35213900010116e-10,4.546076343070004e6,1.3541235601685908e8,2.1809419799193937e7,283321.26013366977,5.616583683965825e8
t1,0.0,0.0,44230.66769650178,0.0,0.0,0.0,0.0,891.3323034982163,0.0,0.0,0.0,45122.0
t2,0.0,0.0,43235.149729544115,0.0,0.0,0.0,0.0,716.8502704558839,0.0,0.0,0.0,43952.0
t3,0.0,0.0,42411.457170092945,0.0,0.0,0.0,0.0,548.5428299070587,0.0,0.0,0.0,42960.0
t4,0.0,0.0,41598.777669185525,0.0,0.0,0.0,0.0,529.2223308144717,0.0,0.0,0.0,42128.0
t5,0.0,0.0,41308.57686792454,0.0,0.0,0.0,0.0,480.42313207546323,0.0,0.0,0.0,41789.0
t6,0.0,0.0,41367.11055391283,0.0,0.0,0.0,0.0,269.88944608716946,0.0,0.0,0.0,41637.0
t7,0.0,0.0,42080.69827829407,0.0,0.0,0.0,0.0,218.30172170593187,0.0,0.0,0.0,42299.0
t8,0.0,0.0,43423.459738899845,0.0,0.0,0.0,0.0,257.540261100155,0.0,0.0,0.0,43681.0
t9,0.0,0.0,44090.42600707157,0.0,0.0,0.0,0.0,589.5739929284291,0.0,0.0,0.0,44680.0
t10,0.0,0.0,32669.56193914727,0.0,0.0,0.0,0.0,618.2559709627852,12689.182089889946,0.0,0.0,45977.0
t11,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,643.3527017428466,30781.04114802435,0.0,0.0,47157.0
t12,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,0.0,42197.75063618304,0.0,0.0,57930.35678641584
t13,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,0.0,48666.74542710732,0.0,0.0,64399.35157734013
t14,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,0.0,40828.251856119445,0.0,0.0,56560.85800635225
t15,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,0.0,52597.90380005362,0.0,0.0,68330.50995028642
t16,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,0.0,50152.48159337455,0.0,0.0,65885.08774360735
t17,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,0.0,43591.072591151344,0.0,0.0,59323.67874138415
t18,0.0,0.0,15732.606150232805,0.0,0.0,0.0,0.0,801.1035809318047,34470.500814496554,0.0,0.0,51004.21054566116
t19,0.0,0.0,29558.55348389126,0.0,0.0,0.0,0.0,784.173246675414,18184.273269433324,0.0,0.0,48527.0
t20,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,597.9395698551164,0.0,5308.301913626873,1880.0204594202291,52856.000000000015
t21,0.0,0.0,45069.7380570978,0.0,0.0,0.0,0.0,512.0928161550646,0.0,6132.063731558178,1876.1053951889621,53590.0
