BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.395656273372511e8,2.2092741059327632e7,-2.634638311868042e7,0.0,0.0,141585.72210096096,0.0,0.0,0.0,-5.35453571e8
t1,45122.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45122.0
t2,43952.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43952.0
t3,42960.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42960.0
t4,42128.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42128.0
t5,41789.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41789.0
t6,41637.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41637.0
t7,42299.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42299.0
t8,43681.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43681.0
t9,44680.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44680.0
t10,45977.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45977.0
t11,47157.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47157.0
t12,57930.35678641584,0.0,-10400.356786415843,0.0,0.0,0.0,0.0,0.0,0.0,-47530.0
t13,64399.35157734013,0.0,-16931.351577340127,0.0,0.0,0.0,0.0,0.0,0.0,-47468.0
t14,56560.85800635225,0.0,-9359.858006352257,0.0,0.0,0.0,0.0,0.0,0.0,-47201.0
t15,68330.50995028642,0.0,-21776.50995028642,0.0,0.0,0.0,0.0,0.0,0.0,-46554.0
t16,65885.08774360735,0.0,-20126.087743607353,0.0,0.0,0.0,0.0,0.0,0.0,-45759.0
t17,59323.67874138415,0.0,-13933.678741384148,0.0,0.0,0.0,0.0,0.0,0.0,-45390.0
t18,51004.21054566116,0.0,-5304.210545661164,0.0,0.0,0.0,0.0,0.0,0.0,-45700.0
t19,48527.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48527.0
t20,45667.677626952915,7188.322373047102,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52856.0
t21,45581.83087325286,8008.16912674714,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53590.0
t22,45761.88995757965,7739.110042420347,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53501.0
t23,45765.87356563998,7270.12643436002,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53036.0
t24,45764.080942012835,5732.919057987156,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-51497.0
t25,45722.85059858845,3775.1494014115524,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49498.0
t26,45846.74080926462,2054.259190735378,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47901.0
t27,46006.48349248375,1327.5165075162513,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47334.0
t28,45916.852311126386,1514.1476888736026,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-47431.0
t29,46029.38923883061,1982.6107611693878,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-48012.0
t30,45866.061308357195,3635.9386916428048,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49502.0
