Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9568.328243502576,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25145.171694655495,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33681.91046309458,79.98618633797894
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51986.68079469148,1941.1731109201587
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68773.06269614364,3801.584478910865
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79862.42831555044,5661.220613484529
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83012.6831948921,7520.081837680917
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83012.6831948921,7516.948219579154
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,77242.78981051507,3753.7749884155974
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,70577.50314577796,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,62165.42701271236,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,54263.11567101668,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48031.68191233499,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,43928.25864993113,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,41695.368225218765,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40252.415499657625,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,38606.60279436023,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36451.59109743698,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32499.483823912193,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,25365.34608674649,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13900.893833920782,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5628.431796745174,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19371.08929715343,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,37406.13223371224,79.98618633797894
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,51405.28501619211,1941.1731109201587
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,68884.85576021612,3801.584478910865
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,81042.95113129824,5661.220613484529
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83012.6831948921,7520.081837680917
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,83012.6831948921,7516.948219579154
