Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.90493811884869
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.91532033283138
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.925706874886146
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.936097746817246
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.94649295042969
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.956892487529245
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.967296359922425
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.977704569416503
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.9881171178195
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-24.998534006940194
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-18.784975845410614,-17.45674523007855
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15151515151515152
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15151515151515152
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15151515151515152
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15157831419867812
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15164150321306702
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15170471856929485
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15176796027834286
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-19.60073762923299
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.608908661472228
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.6170831
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.625260946236295
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.633442201601703
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.6416268675174
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.64981494540515
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.65800643668732
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.66620134278686
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.674399665127318
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.682601405132836
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.69080656422815
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.6170831
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.625260946236295
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-36.095432904,-19.633442201601703
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-19.6416268675174
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-19.64981494540515
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.1513889050968015
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15145201515151516
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15151515151515152
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15157831419867812
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15164150321306702
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15170471856929485
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.16304347826086954,-0.15176796027834286
t43,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-34.7220652173913,-28.919569099629367
t44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.93162490772842
t45,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.943685741576935
t46,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.943685741576935
t47,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.95575160327002
t48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.967822494903647
t49,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.979898418574667
t50,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.991979376380804
t51,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.919569099629367
t52,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.93162490772842
t53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.943685741576935
t54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.95575160327002
t55,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.967822494903647
t56,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.943685741576935
t57,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.95575160327002
t58,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53.25638176450156,-28.967822494903647
