Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,339.1807121175698,0.0
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.8253301569816,0.0
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3088.8253301569816,0.0
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3460.9594729938563,0.0
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2735.960277032332,0.0
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26578.20712489261,0.0
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,58663.026317129596,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,82135.37361447726,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,107414.39468705424,0.0
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,0.0
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,54887.15654614011
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,87465.79397861722
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,101834.03749172961
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,88795.02130736821
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,35488.83597631726
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,137951.8924420352,0.0
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,123584.51840188634,0.0
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,109756.84388791239,0.0
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,97586.57632629017,0.0
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,87234.49475571411,0.0
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,79683.91627526475,0.0
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,74123.65835964681,0.0
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,67687.0089311803,0.0
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,61586.81676932897,0.0
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,52462.20490387145,0.0
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,40279.79172421373,0.0
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23565.004568962304,0.0
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3913.86576137245,0.0
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15269.989500408774,0.0
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,44599.15119180753,0.0
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,76683.97038404451,0.0
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,108768.7895762815,0.0
t39,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,17781.291062318403
t40,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,61070.128390055295
t41,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,85827.95832503289
t42,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,139499.21387929123,90217.06878356004
