Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-38.79106182159488
t2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-40.47762972688161
t3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-42.237526671528634
t4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-44.07394087463857
t5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-45.9901991735359
t6,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-25.775757009624403
t7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-26.896442096999376
t8,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-49.48945345847885,-28.06585262295587
t9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-29.286107084823517
t10,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-14.928421858932804
t11,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-12.591581372448927
t12,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-13.139041432120619
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-13.710304103082386
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-14.306404281477272
t15,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-14.928421858932802
t16,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-15.577483678886402
t17,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-16.254765577968417
t18,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-16.961494516140956
t19,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-16.064280043851603,-17.69895079945143
t20,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-33.98198553494675,-18.46847039942758
t21,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.001178956766225,-19.271447373315734
t22,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-37.001178956766225,-20.10933638954686
t23,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-20.98365536300542
t24,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-21.895988204875216
t25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-22.847987692043702
t26,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-23.841378461262995
t27,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-24.87796013349182
t28,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-25.959610574078418
t29,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-27.088289294690522
t30,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-28.266041003155326
t31,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-23.84137846126299
t32,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-24.877960133491815
t33,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43.8681363687239,-25.959610574078415
t34,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.375243898381225,-27.08828929469052
t35,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.375243898381225,-19.863863016677506
t36,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.375243898381225,-17.482900848084146
t37,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.375243898381225,-18.243026971913892
t38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-21.375243898381225,-19.036202057649277
