Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS
Zone,1,1,1,1,1,1,1,1,1,1,1
t1,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,-2.200003462820983e-11,0.0,0.0,0.0,0.0
t2,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,-2.200003462820983e-11,0.0,0.0,0.0,0.0
t3,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,-2.200003462820983e-11,0.0,0.0,0.0,0.0
t4,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t5,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t6,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t7,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t8,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t9,30973.109897129016,0.0,0.0,0.0,0.0,9630.06906035145,0.0,0.0,0.0,0.0,0.0
t10,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t11,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t12,18637.92079090583,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t13,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t14,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t15,8043.973645335587,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t16,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t17,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t18,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t19,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t20,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t21,30973.109897129016,0.0,0.0,0.0,0.0,1964.427455121846,0.0,0.0,0.0,0.0,0.0
t22,30973.109897129016,0.0,0.0,0.0,0.0,3492.31547577217,0.0,0.0,0.0,0.0,0.0
t23,30973.109897129016,0.0,0.0,0.0,0.0,3492.31547577217,0.0,0.0,0.0,0.0,0.0
t24,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721786,0.0,0.0,0.0,0.0,0.0
t25,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721786,0.0,0.0,0.0,0.0,0.0
t26,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721786,0.0,0.0,0.0,0.0,0.0
t27,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721786,0.0,0.0,0.0,0.0,0.0
t28,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721786,0.0,0.0,0.0,0.0,0.0
t29,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721786,0.0,0.0,0.0,0.0,0.0
t30,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721722,0.0,0.0,0.0,0.0,0.0
t31,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721722,0.0,0.0,0.0,0.0,0.0
t32,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721722,0.0,0.0,0.0,0.0,0.0
t33,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721722,0.0,0.0,0.0,0.0,0.0
t34,30973.109897129016,0.0,0.0,0.0,0.0,3492.3154757721722,0.0,0.0,0.0,0.0,0.0
t35,30973.109897129016,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
t36,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t37,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t38,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t39,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t40,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t41,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t42,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t43,30973.109897129016,0.0,0.0,0.0,0.0,0.0,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t44,30973.109897129016,0.0,0.0,0.0,4392.988235080252,9630.069060351458,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t45,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.069060351458,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t46,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.069060351454,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t47,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.069060351454,1.0738466153634723e-11,0.0,0.0,0.0,0.0
t48,30973.109897129016,0.0,0.0,0.0,7809.756862364891,9630.06906035145,1.0738466153634723e-11,0.0,0.0,0.0,0.0
