Resource,Zone,AnnualSum,Capacity,CapacityFactor
ERC_REST_biomass_1,1,2.6685006815477985e8,31313.29881985683,0.9728242534456986
ERC_REST_conventional_hydroelectric_1,1,0.0,0.0,0.0
NaturalGas_CCAvgCF_Moderate,1,0.0,0.0,0.0
NaturalGas_CTAvgCF_Moderate,1,1.0507998607003673e6,3804.998984500977,0.03152545440521077
NaturalGas_CCCCSAvgCF_Moderate,1,2.7311722030449953e7,14037.476295565863,0.222103775767666
NaturalGas_CCS100_Moderate,1,4.8062535554628074e7,9662.703502027287,0.5678111530160528
ERC_nuclear_1,1,0.0,0.0,0.0
LandbasedWind_Class3_Moderate_130,1,3.648105906751154e7,15761.78204045966,0.26421533105022826
UtilityPV_Class1_Moderate_100_0.2,1,1.7568336915725893e8,92076.74044383249,0.21780939497716892
Liion_Moderate,1,4.440150126276073e7,34874.803469822735,0.0
TEGS,1,3.136362852196323e6,59081.890962057834,0.0
