Region,Resource,Zone,Cluster,AnnualSum
ERC_REST,ERC_REST_biomass_1,1,1,1.7095581236718124e10
ERC_REST,ERC_REST_conventional_hydroelectric_1,1,1,1.2241597710589668e-9
ERC_REST,NaturalGas_CCAvgCF_Moderate,1,1,0.0
ERC_REST,NaturalGas_CTAvgCF_Moderate,1,1,6.373966663148197e8
ERC_REST,NaturalGas_CCCCSAvgCF_Moderate,1,1,4.2535315019938064e9
ERC_REST,NaturalGas_CCS100_Moderate,1,1,4.467430794660877e9
ERC_REST,ERC_nuclear_1,1,1,-1.827253181975191e-7
ERC_REST,LandbasedWind_Class3_Moderate_130,1,1,1.923295653569307e9
ERC_REST,UtilityPV_Class1_Moderate_100_0.2,1,1,6.061782358674971e9
ERC_REST,Liion_Moderate,1,1,3.6205684339508567e9
ERC_REST,TEGS,1,1,5.7038388520867035e7
