BalanceComponent,Generation,Storage_Discharge,Storage_Charge,Flexible_Demand_Defer,Flexible_Demand_Stasify,Demand_Response,Nonserved_Energy,Transmission_NetExport,Transmission_Losses,Demand
Zone,1,1,1,1,1,1,1,1,1,1
AnnualSum,5.530515366909709e8,4.563442068352374e7,-6.33776136435563e7,0.0,0.0,145227.26906181988,0.0,0.0,0.0,-5.35453571e8
t1,45122.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-45122.0
t2,43952.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43952.0
t3,42960.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42960.0
t4,42128.0,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-42128.0
t5,43760.50819800014,0.0,-1971.508198000141,0.0,0.0,0.0,0.0,0.0,0.0,-41789.0
t6,41637.00000000001,0.0,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-41637.0
t7,43131.64530246451,0.0,-832.6453024645086,0.0,0.0,0.0,0.0,0.0,0.0,-42299.0
t8,43439.23675105853,241.76324894146887,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-43681.0
t9,42548.32772614819,2131.672273851811,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-44680.0
t10,52667.15832024357,0.0,-6690.1583202435695,0.0,0.0,0.0,0.0,0.0,0.0,-45977.0
t11,48710.41445068738,0.0,-1553.41445068738,0.0,0.0,0.0,0.0,0.0,0.0,-47157.0
t12,66986.7992280944,0.0,-19456.799228094394,0.0,0.0,0.0,0.0,0.0,0.0,-47530.0
t13,76219.92482430532,0.0,-28751.924824305315,0.0,0.0,0.0,0.0,0.0,0.0,-47468.0
t14,77849.90080670333,0.0,-30648.90080670334,0.0,0.0,0.0,0.0,0.0,0.0,-47201.0
t15,80620.92522841027,0.0,-34066.92522841027,0.0,0.0,0.0,0.0,0.0,0.0,-46554.0
t16,72707.94335203517,0.0,-26948.943352035163,0.0,0.0,0.0,0.0,0.0,0.0,-45759.0
t17,91383.39266090469,0.0,-45993.3926609047,0.0,0.0,0.0,0.0,0.0,0.0,-45390.0
t18,81745.26837319077,0.0,-36045.268373190775,0.0,0.0,0.0,0.0,0.0,0.0,-45700.0
t19,60942.13450365093,0.0,-12415.134503650945,0.0,0.0,0.0,0.0,0.0,0.0,-48527.0
t20,37851.54836714701,15004.451632852997,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-52856.0
t21,39754.081099839015,13835.918900160985,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53590.0
t22,41165.5667319659,12335.4332680341,-0.0,0.0,0.0,0.0,0.0,0.0,0.0,-53501.0
