Resource,ERC_REST_biomass_1,ERC_REST_conventional_hydroelectric_1,NaturalGas_CCAvgCF_Moderate,NaturalGas_CTAvgCF_Moderate,NaturalGas_CCCCSAvgCF_Moderate,NaturalGas_CCS100_Moderate,ERC_nuclear_1,LandbasedWind_Class3_Moderate_130,UtilityPV_Class1_Moderate_100_0.2,Liion_Moderate,TEGS,Total
Zone,1,1,1,1,1,1,1,1,1,1,1,0
AnnualSum,2.6585741485737813e8,0.0,0.0,1.0649191315656647e6,2.7121693061358254e7,4.880424615584574e7,-5.288083233711186e-10,3.6182776761518486e7,1.71120994348229e8,4.316800590516974e7,1.7146855151245354e6,5.950347357361896e8
t1,31794.156681003893,0.0,0.0,0.0,0.0,6332.116979321538,0.0,6995.726339674569,0.0,0.0,0.0,45122.0
t2,31794.156681003893,0.0,0.0,0.0,0.0,6531.559722015375,0.0,5626.283596980732,0.0,0.0,0.0,43952.0
t3,31794.156681003893,0.0,0.0,0.0,0.0,6860.540449842194,0.0,4305.302869153913,0.0,0.0,0.0,42960.0
t4,31794.156681003893,0.0,0.0,0.0,0.0,6180.179657651899,0.0,4153.663661344208,0.0,0.0,0.0,42128.0
t5,31794.156681003893,0.0,0.0,0.0,0.0,7915.691390402073,0.0,3770.6574148145387,0.0,0.0,0.0,43480.50548622051
t6,31794.156681003893,0.0,0.0,0.0,0.0,7724.584282066712,0.0,2118.259036929395,0.0,0.0,0.0,41637.0
t7,31794.156681003893,0.0,0.0,0.0,0.0,9706.172139218883,0.0,1713.3667191694587,0.0,0.0,0.0,43213.69553939224
t8,31794.156681003893,0.0,0.0,0.0,0.0,9706.172139218883,0.0,2021.335007195356,0.0,159.33617258186814,0.0,43681.0
t9,31794.156681003893,0.0,0.0,0.0,0.0,6211.950169100084,0.0,4627.3407743992675,0.0,2046.5523754967553,0.0,44680.0
t10,25115.670821917905,0.0,0.0,0.0,0.0,-2.073647920042277e-13,0.0,4852.454649910584,16008.874528171507,0.0,0.0,45977.0
t11,14307.370506451753,0.0,0.0,0.0,0.0,-2.073647920042277e-13,0.0,5049.429290982986,38833.852496909036,0.0,0.0,58190.652294343774
t12,3512.3389979445965,0.0,0.0,0.0,0.0,0.0,0.0,8840.409486225628,53237.35529368407,0.0,0.0,65590.1037778543
t13,0.0,0.0,0.0,0.0,0.0,-2.073647920042277e-13,0.0,9864.364961641682,61398.74230804602,0.0,0.0,71263.10726968771
t14,0.0,0.0,0.0,0.0,0.0,-2.073647920042277e-13,-3.410605131648481e-13,6844.087131864863,66017.54924474536,0.0,0.0,72861.63637661021
t15,9674.679297156465,0.0,0.0,0.0,0.0,-2.073647920042277e-13,0.0,4594.5116675538675,66358.35441677367,0.0,0.0,80627.545381484
t16,4353.60568372041,0.0,0.0,0.0,0.0,0.0,0.0,4886.847047558145,63273.170754201674,0.0,0.0,72513.62348548023
t17,14307.370506451753,0.0,0.0,0.0,0.0,-2.073647920042277e-13,0.0,4347.511720812286,54995.19249677741,0.0,0.0,73650.07472404145
t18,31794.156681003893,0.0,0.0,0.0,0.0,-2.073647920042277e-13,0.0,6287.555606295222,43488.53366224294,0.0,0.0,81570.24594954206
t19,31794.156681003893,0.0,0.0,0.0,0.0,-2.0736479200422767e-13,-1.3642420526593924e-12,6154.675888111458,22941.569211799844,0.0,0.0,60890.4017809152
t20,31794.156681003893,0.0,0.0,0.0,0.0,1538.6565400024338,-1.3642420526593924e-12,4692.998988090068,0.0,0.0,14830.187790903605,52856.0
t21,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,4019.220652358283,0.0,13502.576722186595,0.0,53589.999999999985
t22,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,5432.435537512653,0.0,12000.361837032247,0.0,53501.0
t23,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,5463.701353555889,0.0,11504.096020989013,0.0,53036.0
t24,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,5449.631736336436,0.0,9979.165638208467,0.0,51497.00000000001
t25,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,5126.030540288919,0.0,8303.766834255985,0.0,49498.00000000001
t26,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,6098.39741923363,0.0,5734.3999553112735,0.0,47901.00000000001
t27,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,7352.156642567512,0.0,3913.6407319773916,0.0,47334.00000000001
t28,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,-1.3642420526593924e-12,6648.675781594624,0.0,4714.12159295028,0.0,47431.00000000001
t29,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,0.0,7531.935084816105,0.0,4411.862289728797,0.0,48012.0
t30,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,0.0,6250.036627043335,0.0,7183.760747501567,0.0,49502.00000000001
t31,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,0.0,6379.789763622775,0.0,9998.007610922126,0.0,52446.0
t32,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,0.0,6168.745505330917,0.0,14166.051869213985,0.0,56403.0
t33,31794.156681003893,0.0,0.0,0.0,0.0,4274.045944451205,0.0,5646.606377408837,0.0,16863.190997136066,0.0,58578.00000000001
t34,31794.156681003893,0.0,0.0,0.0,0.0,2735.3894044487715,0.0,3945.745984656649,17381.06377344335,3115.6441564473366,0.0,58972.0
t35,29981.468669602422,0.0,0.0,0.0,0.0,0.0,0.0,2781.094337046047,40313.66442808456,0.0,0.0,73076.22743473302
t36,31794.156681003893,0.0,0.0,0.0,0.0,0.0,0.0,2684.1703073120075,54842.727025080545,0.0,0.0,89321.05401339644
t37,23757.070836109946,0.0,0.0,0.0,0.0,0.0,0.0,3170.3537467843635,64143.1207985897,0.0,0.0,91070.545381484
t38,18451.469734091166,0.0,0.0,0.0,0.0,0.0,0.0,2918.6639276362953,68053.41171975654,0.0,0.0,89423.545381484
t39,15875.208143261902,0.0,0.0,0.0,0.0,0.0,0.0,3328.246117802717,68430.09112041938,0.0,0.0,87633.545381484
t40,31794.156681003893,0.0,0.0,0.0,0.0,0.0,0.0,1783.7148052667449,65452.53014375107,0.0,0.0,99030.40163002172
t41,31794.156681003893,0.0,0.0,0.0,0.0,0.0,0.0,1696.1705203456777,57273.206015071846,0.0,0.0,90763.53321642142
t42,31794.156681003893,0.0,0.0,0.0,0.0,0.0,0.0,1580.4870009856959,43892.118734381715,0.0,0.0,77266.7624163713
t43,31794.156681003893,0.0,0.0,0.0,0.0,0.0,0.0,1119.316214347931,23040.22334054488,0.0,0.0,55953.6962358967
t44,31794.156681003893,0.0,0.0,0.0,5278.988585998508,6211.950169100088,0.0,1239.6896061143984,0.0,0.0,16021.214957783113,60546.00000000001
t45,31794.156681003893,0.0,0.0,0.0,8248.419665622669,9706.172139218887,0.0,697.2276977642141,0.0,11130.02381639034,0.0,61576.0
t46,31794.156681003893,0.0,0.0,0.0,8248.419665622669,9706.172139218877,0.0,792.5884366960909,0.0,11296.66307745847,0.0,61838.0
t47,31794.156681003893,0.0,0.0,0.0,8248.419665622669,9706.172139218877,0.0,575.2910151955847,0.0,10624.960498958979,0.0,60949.00000000001
t48,31794.156681003893,0.0,0.0,0.0,8248.419665622669,9706.172139218877,0.0,490.8733118788412,0.0,8215.378202275722,0.0,58455.00000000001
t49,31794.156681003893,0.0,0.0,0.0,8248.419665622669,9706.172139218877,0.0,529.9555819328891,0.0,5457.295932221672,0.0,55736.0
